Scenario,TimeS,ReportedFrontForceN,PredictionTangentFrontForceN,NonlinearFialaFrontForceN,LateralCapacityN,ActualSlipRad,SaturationSlipRad,CorneringStiffnessNPerRad,NonlinearSlipSlopeNPerRad,GeneratorReconstructionError,TrimFrontForceN,TrimBrakingRatio
straight_oncoming,2.1,-58112.650381126,-58112.650381126,-6202.08057820663,6202.08057820663,0.43054675290054,0.13700254028601,134958.699313346,0,0,-0,0.0137970064288148
circular_oncoming,2.1,-65390.8638794543,-76677.7026902223,-6504.69475309638,6504.69475309638,0.605150402063738,0.143597787270813,134958.699313346,0,0,585.823585816853,0.0141737652288288
