Scenario,TimeS,SteerRad,BrakingRatio,FrontSlipRad,ReportedAffineFrontForceN,IndependentFialaFrontForceN,StaticCombinedSlipCapacityN,AffineForceCapacityRatio,PredictedVyMps,ActualVyMps,PredictedYawRateRadps,ActualYawRateRadps,VxPredictionErrorMps,VyPredictionErrorMps,YawRatePredictionErrorRadps,HorizonSteps
straight_oncoming,0,-0.00012084318754963,0.0137971185446432,0.00012084318754963,-16.3088394125768,-16.295213138436,6504.65408152885,0.00250725698986649,-0.000350628426620262,-0.000208709489257367,-0.000307189636729544,-0.000244149923706537,0.000701918559380843,0.000141918937362894,6.30397130230061e-05,16
straight_oncoming,0.05,-0.000126681317533576,0.0125172723805285,6.88257165787185e-05,-9.28808106583528,-9.28420859991274,6504.76363454191,0.00142788909600239,-0.000406167029319705,-0.000347150200800873,-0.000373792584023087,-0.000446714182304647,-0.000873001650656846,5.90168285188324e-05,-7.29215982815603e-05,16
straight_oncoming,0.1,-9.78050806687268e-05,0.0153895742523281,-4.59608083413278e-06,0.619074182169024,0.620261374486772,6504.50288765779,9.51762483407778e-05,-0.000344507149470585,-0.000350768834680135,-0.000342654080372238,-0.000384993418391763,-0.00156829109206313,-6.2616852095501e-06,-4.23393380195251e-05,16
straight_oncoming,0.15,-0.000105688812007199,0.0166558580053768,1.22707814515815e-05,-1.65802506661715,-1.65590816194463,6504.37088321114,0.000254909367314337,-0.000373699849232041,-0.000387503216403502,-0.000350712432340378,-0.000306828095895078,-0.0018222436896167,-1.38033671714608e-05,4.38843364453005e-05,16
straight_oncoming,0.2,-9.77797191001638e-05,0.0171179183653895,1.25294177347001e-05,-1.69304891110625,-1.69080739028223,6504.32011687402,0.000260296061799605,-0.000367920175217761,-0.000402236503190776,-0.000316060993165342,-0.000306210128015752,-0.00182139667691139,-3.43163279730151e-05,9.85086514959053e-06,16
straight_oncoming,0.25,-7.29406337322932e-05,0.0171158666220118,-1.36896156103143e-05,1.84540514302333,1.84735779379204,6504.32034536925,0.000283719903853931,-0.000300103026188898,-0.000329475354510369,-0.000253086279568489,-0.000264818762377044,-0.00170700759435327,-2.93723283214709e-05,-1.17324828085551e-05,16
straight_oncoming,0.3,-4.79532087868882e-05,0.0169071933853797,-2.51268320090434e-05,3.38940259648519,3.39049527883804,6504.34344146257,0.00052109834405101,-0.000210400125372837,-0.000231416217730475,-0.000180060407546984,-0.000171613901063987,-0.00157289759610002,-2.10160923576379e-05,8.44650648299688e-06,16
straight_oncoming,0.35,-3.10612653231121e-05,0.0166627944511906,-1.80875856691235e-05,2.44003472151822,2.4407716715224,6504.3701313801,0.000375137741584902,-0.000141410760842956,-0.000156626305231462,-0.000117000273514419,-9.68452794138768e-05,-0.00146093872868214,-1.52155443885062e-05,2.0154994100542e-05,16
straight_oncoming,0.4,-1.89756741216008e-05,0.0164588467248665,-1.13634444613323e-05,1.53299805625082,1.53347515782465,6504.39210622566,0.000235686599333935,-9.14229019713283e-05,-9.9026514026763e-05,-7.02136868136397e-05,-5.91824879795931e-05,-0.00138356064046974,-7.60361205543463e-06,1.10311988340465e-05,16
straight_oncoming,0.45,-8.60595321007599e-06,0.0163179248838311,-1.02654537336692e-05,1.38506022885313,1.38531392373858,6504.40713205194,0.000212941810180966,-4.81371449757348e-05,-4.99211190908701e-05,-3.53715005689101e-05,-3.270592013601e-05,-0.00134262712516175,-1.78397411513534e-06,2.66558043290004e-06,16
straight_oncoming,0.5,-4.52825192110188e-07,0.0162434054440715,-9.49556814028199e-06,1.28132942000596,1.28142536569685,6504.41502546512,0.000196993798057087,-1.27468315996071e-05,-1.34042401383062e-05,-8.51470163397163e-06,-5.48938182216063e-06,-0.00133404544196303,-6.57408538699068e-07,3.025319811811e-06,16
straight_oncoming,0.55,5.19115647882568e-06,0.0162278245628036,-7.36351139102712e-06,0.993730842108416,0.993719309919346,6504.41667128974,0.000152777857312664,1.17103952070275e-05,9.86696216037456e-06,1.18619714778935e-05,1.63190947199321e-05,-0.00134799856077628,-1.84343304665298e-06,4.4571232420386e-06,16
straight_oncoming,0.6,9.35808606264196e-06,0.0162532874668603,-5.89858105304875e-06,0.796127709840637,0.796032350797591,6504.41398079806,0.000122398068786968,2.85683509413445e-05,2.59181009312596e-05,2.71686673482895e-05,3.02226443717175e-05,-0.0013718265106597,-2.65025001008493e-06,3.05397702342796e-06,16
straight_oncoming,0.65,1.2934829674897e-05,0.0162967220365425,-5.76330598881508e-06,0.77794094043444,0.777777276539105,6504.40938162536,0.000119602087567256,4.23322308214543e-05,3.9457446570572e-05,3.92901105142736e-05,4.06316197540793e-05,-0.00139475510683518,-2.87478425088232e-06,1.34150923980568e-06,16
straight_oncoming,0.7,1.60923273351821e-05,0.0163384991484834,-5.98948439629073e-06,0.808523030561495,0.808299539036261,6504.40494637284,0.000124303919763231,5.4462767041023e-05,5.13355560553886e-05,4.9614227473898e-05,5.06362358846632e-05,-0.00141069442961061,-3.12721098563447e-06,1.02200841076525e-06,16
straight_oncoming,0.75,1.87972944844341e-05,0.0163675298593882,-5.99054407126984e-06,0.808719646085538,0.808442539527887,6504.40185764874,0.000124334206862471,6.48412397489306e-05,6.14332111189939e-05,5.86765255706849e-05,5.98803036704386e-05,-0.00141825308903165,-3.40802862993667e-06,1.20377809975374e-06,16
straight_oncoming,0.8,2.11042462623295e-05,0.0163812871249217,-5.88690283756182e-06,0.794779762302014,0.794456402423302,6504.40039202829,0.000122191088247901,7.36223387987533e-05,7.01615748647205e-05,6.65436937548539e-05,6.75970074142845e-05,-0.00141906510545908,-3.46076393403286e-06,1.05331365943055e-06,16
straight_oncoming,0.85,2.30469265804356e-05,0.0163827539206304,-5.7873754018157e-06,0.781386909900786,0.781025393667226,6504.4002356916,0.000120132046243569,8.10868830160851e-05,7.7804737283569e-05,7.31598044014251e-05,7.39083140542395e-05,-0.00141589156853072,-3.2821457325161e-06,7.48509652814458e-07,16
straight_oncoming,0.9,2.45835817239597e-05,0.016376963469862,-5.60331341697924e-06,0.756578254628063,0.756186584548406,6504.40085277851,0.000116317901026175,8.71842803635667e-05,8.41723523695016e-05,7.84480932984886e-05,7.90098194888366e-05,-0.00141132240566932,-3.01192799406513e-06,5.61726190348005e-07,16
straight_oncoming,0.95,2.56819729874827e-05,0.0163686346934664,-5.29187497909275e-06,0.71457258641176,0.714158425231855,6504.40173999152,0.000109859847988524,9.1749964052432e-05,8.90270702252411e-05,8.2361081910815e-05,8.27843495225375e-05,-0.00140716563834076,-2.7228938271909e-06,4.23267611722515e-07,16
straight_oncoming,1,2.63682531935359e-05,0.0163610606473444,-4.92070190643217e-06,0.664498471574892,0.664068928285447,6504.40254641585,0.000102161338698364,9.48021764792083e-05,9.23695963207092e-05,8.49377264530699e-05,8.51672815939073e-05,-0.00140433279841368,-2.43258015849907e-06,2.29555140837407e-07,16
straight_oncoming,1.05,-0.00195949207415056,0.0127596153602635,0.00198163498374508,-267.438460630242,-263.790764360848,6504.74370835112,0.0411143732360878,-0.00566645411075256,-0.00350390387299565,-0.00496269125743588,-0.00409634076300507,-0.0010696427408039,0.00216255023775691,0.000866350494430804,72
straight_oncoming,1.1,-0.00267087736788997,0.0194405600019532,0.00169959626216736,-229.415126244145,-226.689656074438,6504.04388185822,0.0352726904078945,-0.0083978310806239,-0.00711757735555092,-0.00765801459027405,-0.0089687709190717,-0.00169160949255165,0.00128025372507298,-0.00131075632879765,72
straight_oncoming,1.15,-0.00351067133899713,0.0167568574338028,0.00143980902867707,-194.36007027286,-192.386287249066,6504.35990511945,0.0298815061140579,-0.011447574388245,-0.0100513843730286,-0.0108150281859684,-0.0114629619224723,-0.00147674094852235,0.00139619001521637,-0.000647933736503953,72
straight_oncoming,1.2,-0.00397266656987155,0.016185086895443,0.00123048820963799,-166.119232599938,-164.655904541944,6504.42117760373,0.0255394335735709,-0.0134109641377365,-0.0127744344454232,-0.0125339183328188,-0.0127889075831929,-0.0014049714163864,0.000636529692313231,-0.000254989250374083,72
straight_oncoming,1.25,-0.00417066494341381,0.0163771592623315,0.000955204259553905,-128.980298853561,-128.063379666257,6504.40083191652,0.0198296971829698,-0.0146483249956383,-0.0145055542995823,-0.0133494484398684,-0.0134664362539414,-0.00141586096696145,0.000142770696056005,-0.000116987814073046,72
straight_oncoming,1.3,-0.00437703631344066,0.0165943834364567,0.000885777580047751,-119.616026335631,-118.812557322114,6504.3775326634,0.018390080485788,-0.0156826840103765,-0.0154688680491721,-0.0140402316179941,-0.0140091875721858,-0.00143583815192905,0.0002138159612044,3.10440458083424e-05,72
straight_oncoming,1.35,-0.00467943805490897,0.0163181977767872,0.00100963163626968,-136.329789654684,-135.309354871836,6504.40710307956,0.0209596028499104,-0.0167882940806851,-0.0162947926124735,-0.0149337890525627,-0.014888980752797,-0.00141231131008546,0.000493501468211574,4.48082997657022e-05,72
straight_oncoming,1.4,-0.00505429023321788,0.0161619537594326,0.00116856262972954,-157.784316481631,-156.436591831024,6504.42361183269,0.0242580013076937,-0.0180360799377272,-0.0172773618979103,-0.0160746517103779,-0.0161181298074505,-0.0013986587461563,0.000758718039816877,-4.34780970726655e-05,72
straight_oncoming,1.45,-0.00545587008253839,0.0159069120012116,0.0012855890881627,-173.588903153341,-171.963422865825,6504.45021824296,0.0266877133852879,-0.0193761599474289,-0.0184676654406956,-0.0173547465310595,-0.0174629865272045,-0.00137603240572481,0.000908494506733293,-0.000108239996145055,64
straight_oncoming,1.5,-0.00580342193117273,0.0160906192521727,0.00131022086485369,-176.932599577129,-175.228282732205,6504.43109621668,0.0272018562361345,-0.0206087985380933,-0.0197298557035426,-0.018524159264182,-0.0186593808637159,-0.00139328726366017,0.000878942834550686,-0.000135221599533861,64
straight_oncoming,1.55,-0.00612161265818273,0.0170832392317381,0.00132082468408441,-178.379081348491,-176.633413360508,6504.32397528163,0.0274246919474468,-0.0217894577612769,-0.0209733885026219,-0.0195913479001809,-0.0196715521417813,-0.00149038369344012,0.000816069258654979,-8.02042416004276e-05,64
straight_oncoming,1.6,-0.00677639272847727,0.0163587494937224,0.00169801881302519,-229.26969120576,-226.481885906378,6504.4027924148,0.0352483845977568,-0.0239571944573855,-0.0227957197900853,-0.0214778226515793,-0.0213625242582831,-0.00143546237048753,0.0011614746673002,0.000115298393296208,64
straight_oncoming,1.65,-0.00759853771723826,0.0160956604259467,0.00208167204081569,-281.057336799661,-276.914767848708,6504.43056838647,0.0432101371280194,-0.0267174401988911,-0.0252658952826967,-0.0239336312275372,-0.0240217149774552,-0.00141717377411155,0.0014515449161944,-8.80837499180401e-05,64
straight_oncoming,1.7,-0.00860803860409187,0.0160315492120192,0.00244110502781825,-329.590636805372,-323.918131381337,6504.43726875357,0.0506716604661068,-0.0301230987456107,-0.0283278514904851,-0.0270674620288045,-0.0272938885722869,-0.00142214382399786,0.00179524725512555,-0.000226426543482344,64
straight_oncoming,1.75,-0.00983500920621316,0.0155724688458994,0.00286589673845395,-386.953574366298,-379.163014159996,6504.48446645096,0.0594902757262531,-0.0342759848937985,-0.0321594407131124,-0.0308853961766004,-0.031137789502572,-0.00139491125336555,0.00211654418068614,-0.000252393325971566,64
straight_oncoming,1.8,-0.0113712445385247,0.0155102398101036,0.00343614619905477,-463.977934594528,-452.806130730942,6504.49075861353,0.0713319384734474,-0.0394966880129838,-0.0369847867069454,-0.0356162037568014,-0.0358732645701237,-0.00141233573124033,0.00251190130603844,-0.00025706081332235,64
straight_oncoming,1.85,-0.0133679312464254,0.0155697687784254,0.00423223623156127,-571.503260026842,-554.624547372337,6504.48473998579,0.0878629565403655,-0.046260389683193,-0.0431376326540144,-0.0417110553412823,-0.0420094306528615,-0.00146035473461481,0.00312275702917861,-0.000298375311579217,56
straight_oncoming,1.9,-0.0160102842588279,0.0143805150585883,0.00532885568197798,-719.612234613721,-693.002358743861,6504.60060699309,0.110631271325109,-0.0551560508056178,-0.0511346419963646,-0.0497467295646105,-0.0501380984797452,-0.00141747414124893,0.00402140880925313,-0.000391368915134686,56
straight_oncoming,1.95,-0.0196791929156699,0.01391834839373,0.0069647620106924,-940.636059700989,-895.419790815656,6504.64315180927,0.144609940583651,-0.0673854586233909,-0.061966021561253,-0.0608171468409754,-0.0612809174842632,-0.00149345869195727,0.00541943706213789,-0.0004637706432878,56
straight_oncoming,2,-0.0299510296325145,0.0130334457490883,0.0144624190814187,-1952.90210831139,-1763.22410992141,6504.72073331496,0.300228432299836,-0.0993233851413885,-0.0860981141210379,-0.0893166198456817,-0.0874431818988315,-0.00210707553647183,0.0132252710203506,0.00187343794685012,56
