scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minTerminalMargin,maxClfResidual,reactiveAdmissions,cartesianJerk,maxFrameMs
oncoming,0,0.02,3,nrmm-boxOnly,1,1,240,,,5.66496924467506,5.66496924467506,0.0937692173216959,-0.00167637436059034,0,NaN,188.831
oncoming,0,0.02,3,nrmm-egoOnly,1,1,240,,,5.66496882345694,5.66496882345694,0.0937692173216959,-0.00167637436058155,0,NaN,71.729
oncoming,0,0.02,3,nrmm-reactive,1,1,240,,,5.66463741736317,5.66463741736317,0.0937692173216959,-0.00167637435982705,1,NaN,282.47
oncoming,0,0.02,10,cartesian,1,1,240,,,5.67119347234449,5.67119347234449,0.0937692173216959,-0.00167637434160566,0,0.4608,174.198
oncoming,0,0.02,10,nrmm-boxOnly,1,1,240,,,5.67119182915324,5.67119182915324,0.0937692173216959,-0.00167637434170456,0,NaN,99.745
oncoming,0,0.02,10,nrmm-egoOnly,1,1,240,,,5.67119308693582,5.67119308693582,0.0937692173216959,-0.00167637434162923,0,NaN,180.293
oncoming,0,0.02,10,nrmm-reactive,1,1,240,,,5.67551340223479,5.67551340223479,0.0937692173216959,-0.0016763743506098,2,NaN,220.462
oncoming,0.01,0,1,cartesian,1,1,240,,,0.394957018457854,0.36455051690477,1.60055927697494e-05,-0.0488524642791062,0,0.4608,121.683
oncoming,0.01,0,1,nrmm-boxOnly,1,1,240,,,0.891767968568358,0.89159678280598,1.60019859611199e-05,-0.047866846937437,0,NaN,55.311
oncoming,0.01,0,1,nrmm-egoOnly,1,1,240,,,0.890606510093216,0.890376852461308,1.60019665136762e-05,-0.0478669843414253,0,NaN,81.53
oncoming,0.01,0,1,nrmm-reactive,1,1,240,,,0.90367635961453,0.900453404109297,1.60161066491277e-05,-0.0478682578776174,1,NaN,164.883
oncoming,0.01,0,3,cartesian,1,1,240,,,0.452763757934497,0.452496537130508,1.60139041496254e-05,-0.0476707078468883,0,0.4608,73.143
oncoming,0.01,0,3,nrmm-boxOnly,1,1,240,,,0.443334770555788,0.441988699078546,1.60461596942357e-05,-0.047743983678313,0,NaN,52.611
oncoming,0.01,0,3,nrmm-egoOnly,1,1,240,,,0.443241477485109,0.441914312194132,1.60132868626123e-05,-0.047751532900014,0,NaN,120.768
oncoming,0.01,0,3,nrmm-reactive,1,1,240,,,0.451370948542469,0.448672909546531,1.60159266634347e-05,-0.0477801214827971,9,NaN,167.646
oncoming,0.01,0,10,cartesian,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,0.4608,59.31
oncoming,0.01,0,10,nrmm-boxOnly,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,NaN,146.365
oncoming,0.01,0,10,nrmm-egoOnly,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,NaN,106.209
oncoming,0.01,0,10,nrmm-reactive,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,NaN,227.033
oncoming,0.01,0.02,1,cartesian,1,1,240,,,5.63521436609711,5.63521436609711,0.0763995187867805,-0.0458637828585224,0,0.4608,58.268
oncoming,0.01,0.02,1,nrmm-boxOnly,1,1,240,,,5.63521268890067,5.63521268890067,0.0763995187867805,-0.0458637834932863,0,NaN,77.239
oncoming,0.01,0.02,1,nrmm-egoOnly,1,1,240,,,5.63521238687229,5.63521238687229,0.0763995187867805,-0.0458637835512725,0,NaN,85.755
oncoming,0.01,0.02,1,nrmm-reactive,1,1,240,,,5.63515406029338,5.63515406029338,0.0763995187867805,-0.0458637764717502,1,NaN,84.047
oncoming,0.01,0.02,3,cartesian,1,1,240,,,5.63523403902386,5.63523403902386,0.0763995187867805,-0.045863773064653,0,0.4608,50.489
oncoming,0.01,0.02,3,nrmm-boxOnly,1,1,240,,,5.63523184311415,5.63523184311415,0.0763995187867805,-0.0458637734614659,0,NaN,70.337
oncoming,0.01,0.02,3,nrmm-egoOnly,1,1,240,,,5.63523115886154,5.63523115886154,0.0763995187867805,-0.0458637735926405,0,NaN,46.433
oncoming,0.01,0.02,3,nrmm-reactive,1,1,240,,,5.63476426691723,5.63476426691723,0.0763995187867805,-0.0458637216592244,1,NaN,128.185
oncoming,0.01,0.02,10,cartesian,1,1,240,,,5.64071149626054,5.64071149626054,0.0763995187867805,-0.0458660168748117,0,0.4608,104.15
oncoming,0.01,0.02,10,nrmm-boxOnly,1,1,240,,,5.64066585897839,5.64066585897839,0.0763995187867805,-0.0458660205651382,0,NaN,55.837
oncoming,0.01,0.02,10,nrmm-egoOnly,1,1,240,,,5.64071918253667,5.64071918253667,0.0763995187867805,-0.0458660161192119,0,NaN,71.56
oncoming,0.01,0.02,10,nrmm-reactive,1,1,240,,,5.64600265768432,5.64600265768432,0.0763995187867805,-0.0458653642458809,2,NaN,65.219
crossing,0,0,1,cartesian,1,1,240,,,9.51831575298627,9.51785421911582,0.0937555830395087,-0.00164822859109466,0,29.4912,859.814
crossing,0,0,1,nrmm-boxOnly,1,1,240,,,9.51831472756606,9.51785307772951,0.0937610375669143,-0.00164822859111637,0,NaN,220.492
crossing,0,0,1,nrmm-egoOnly,1,1,240,,,9.51831472753904,9.51785307770005,0.0937610375694012,-0.00164822859111632,0,NaN,83.263
crossing,0,0,1,nrmm-reactive,1,1,240,,,9.51831470265994,9.51785305182449,0.0937610375610426,-0.00164822859111655,1,NaN,188.971
crossing,0,0,3,cartesian,1,1,240,,,9.51831574406311,9.51785421109634,0.0937556652679688,-0.00164822859109492,0,29.4912,145.669
crossing,0,0,3,nrmm-boxOnly,1,1,240,,,9.51831477047985,9.51785312435908,0.0937610255316427,-0.00164822859111579,0,NaN,134.444
crossing,0,0,3,nrmm-egoOnly,1,1,240,,,9.51831477039639,9.51785312426812,0.0937610255435607,-0.0016482285911152,0,NaN,75.925
crossing,0,0,3,nrmm-reactive,1,1,240,,,9.51831478995314,9.5178531452409,0.0937610254701877,-0.00164822859111506,1,NaN,153.32
crossing,0,0,10,cartesian,1,1,240,,,9.51359463172253,9.51338714924572,2.91912057037574e-05,-0.00164822872097137,0,29.4912,102.865
crossing,0,0,10,nrmm-boxOnly,1,1,240,,,9.51831511867997,9.51785350322565,0.0937604210951386,-0.00164822859110802,0,NaN,82.349
crossing,0,0,10,nrmm-egoOnly,1,1,240,,,9.5183151185289,9.51785350305965,0.093760421628426,-0.00164822859110794,0,NaN,71.858
crossing,0,0,10,nrmm-reactive,1,1,240,,,9.51831550367491,9.51785391102302,0.0937604111491382,-0.0016482285911055,1,NaN,102.376
crossing,0,0.02,1,cartesian,1,1,240,,,8.90809178300912,8.90809178300912,0.0937559928598846,-0.001648228583722,0,29.4912,70.583
crossing,0,0.02,1,nrmm-boxOnly,1,1,240,,,8.90809071950536,8.90809071950536,0.0937590530751141,-0.00164822858373119,0,NaN,358.28
crossing,0,0.02,1,nrmm-egoOnly,1,1,240,,,8.90809070679084,8.90809070679084,0.0937591017506354,-0.00164822858373119,0,NaN,151.066
crossing,0,0.02,1,nrmm-reactive,1,1,240,,,8.90809062252315,8.90809062252315,0.0937591446378412,-0.00164822858373136,1,NaN,179.567
crossing,0,0.02,3,cartesian,1,1,240,,,8.90809178620499,8.90809178620499,0.093756229432792,-0.00164822858372274,0,29.4912,212.025
crossing,0,0.02,3,nrmm-boxOnly,1,1,240,,,8.9080907989722,8.9080907989722,0.0937586037497922,-0.00164822858373009,0,NaN,131.23
crossing,0,0.02,3,nrmm-egoOnly,1,1,240,,,8.90809076197713,8.90809076197713,0.0937587533525854,-0.00164822858373064,0,NaN,79.052
crossing,0,0.02,3,nrmm-reactive,1,1,240,,,8.90809081927644,8.90809081927644,0.0937588833662429,-0.00164822858373077,1,NaN,94.086
crossing,0,0.02,10,cartesian,1,1,240,,,8.90809173516016,8.90809173516016,0.0937566688839508,-0.00164822858372549,0,29.4912,121.542
crossing,0,0.02,10,nrmm-boxOnly,1,1,240,,,8.90809086030256,8.90809086030256,0.0937574363246052,-0.00164822858372999,0,NaN,131.978
