scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minTerminalMargin,maxClfResidual,reactiveAdmissions,cartesianJerk,maxFrameMs
oncoming,0,0.02,3,cartesian,1,1,240,,,5.66497013151715,5.66497013151715,0.0937692173216959,-0.00167637436074257,0,0.4608,105.411
oncoming,0,0.02,3,nrmm-boxOnly,1,1,240,,,5.66497479239293,5.66497479239293,0.0937692173216959,-0.00167637436073498,0,NaN,91.895
oncoming,0,0.02,3,nrmm-egoOnly,1,1,240,,,5.66497055872135,5.66497055872135,0.0937692173216959,-0.00167637436070152,0,NaN,91.513
oncoming,0,0.02,3,nrmm-reactive,1,1,240,,,5.66461745656038,5.66461745656038,0.0937692173216959,-0.00167637435976404,1,NaN,214.25
oncoming,0,0.02,10,cartesian,1,1,240,,,5.67119347234449,5.67119347234449,0.0937692173216959,-0.00167637434160566,0,0.4608,118.005
oncoming,0,0.02,10,nrmm-boxOnly,1,1,240,,,5.67119165455354,5.67119165455354,0.0937692173216959,-0.00167637434211498,0,NaN,114.645
oncoming,0,0.02,10,nrmm-egoOnly,1,1,240,,,5.67118488296706,5.67118488296706,0.0937692173216959,-0.00167637434169356,0,NaN,120.131
oncoming,0,0.02,10,nrmm-reactive,1,1,240,,,5.67879862663536,5.67879862663536,0.0937692173216959,-0.00167637436182628,2,NaN,217.83
oncoming,0.01,0,1,cartesian,1,1,240,,,0.394957018457854,0.36455051690477,1.60055927697494e-05,-0.0488524642791062,0,0.4608,136.572
oncoming,0.01,0,1,nrmm-boxOnly,1,1,240,,,0.938193787612132,0.938193787612132,1.6002428682646e-05,-0.0478362207375629,0,NaN,110.771
oncoming,0.01,0,1,nrmm-egoOnly,1,1,240,,,0.905621711088804,0.905621711088804,1.60024875276304e-05,-0.0478576704027902,0,NaN,64.924
oncoming,0.01,0,1,nrmm-reactive,1,1,240,,,0.903641861160078,0.90041666281651,1.60164196699591e-05,-0.0478684792905561,1,NaN,80.55
oncoming,0.01,0,3,cartesian,1,1,240,,,0.452763757934497,0.452496537130508,1.60139041496254e-05,-0.0476707078468883,0,0.4608,84.955
oncoming,0.01,0,3,nrmm-boxOnly,1,1,240,,,0.502046459506464,0.501700260456046,1.60579780736081e-05,-0.0476720464722461,0,NaN,71.459
oncoming,0.01,0,3,nrmm-egoOnly,1,1,240,,,0.441741287434878,0.440847131716666,1.60067640612993e-05,-0.0477059244394475,0,NaN,102.695
oncoming,0.01,0,3,nrmm-reactive,1,1,240,,,0.456036285814997,0.432003582146358,1.60474025272944e-05,-0.0486476733388994,11,NaN,190.163
oncoming,0.01,0,10,cartesian,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,0.4608,74.429
oncoming,0.01,0,10,nrmm-boxOnly,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,NaN,61.15
oncoming,0.01,0,10,nrmm-egoOnly,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,NaN,43.004
oncoming,0.01,0,10,nrmm-reactive,0,0,50,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.5 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",15.0729127524502,15.0729127524502,0.0763995187867805,-0.221602751794186,0,NaN,145.057
oncoming,0.01,0.02,1,cartesian,1,1,240,,,5.63521436609711,5.63521436609711,0.0763995187867805,-0.0458637828585224,0,0.4608,73.125
oncoming,0.01,0.02,1,nrmm-boxOnly,1,1,240,,,5.63521408105804,5.63521408105804,0.0763995187867805,-0.045863783596499,0,NaN,67.931
oncoming,0.01,0.02,1,nrmm-egoOnly,1,1,240,,,5.63521278352803,5.63521278352803,0.0763995187867805,-0.0458637835781996,0,NaN,48.889
oncoming,0.01,0.02,1,nrmm-reactive,1,1,240,,,5.63515475078937,5.63515475078937,0.0763995187867805,-0.0458637761570281,1,NaN,125.204
oncoming,0.01,0.02,3,cartesian,1,1,240,,,5.63523403902386,5.63523403902386,0.0763995187867805,-0.045863773064653,0,0.4608,76.03
oncoming,0.01,0.02,3,nrmm-boxOnly,1,1,240,,,5.63524337847864,5.63524337847864,0.0763995187867805,-0.0458637731571636,0,NaN,63.788
oncoming,0.01,0.02,3,nrmm-egoOnly,1,1,240,,,5.63523541396944,5.63523541396944,0.0763995187867805,-0.045863773530814,0,NaN,73.197
oncoming,0.01,0.02,3,nrmm-reactive,1,1,240,,,5.63473028368696,5.63473028368696,0.0763995187867805,-0.0458637156152705,1,NaN,233.699
oncoming,0.01,0.02,10,cartesian,1,1,240,,,5.64071149626054,5.64071149626054,0.0763995187867805,-0.0458660168748117,0,0.4608,45.01
oncoming,0.01,0.02,10,nrmm-boxOnly,1,1,240,,,5.64066951192553,5.64066951192553,0.0763995187867805,-0.0459469197935887,0,NaN,92.772
oncoming,0.01,0.02,10,nrmm-egoOnly,1,1,240,,,5.64067228168782,5.64067228168782,0.0763995187867805,-0.0458660201045898,0,NaN,43.399
oncoming,0.01,0.02,10,nrmm-reactive,1,1,240,,,5.65025551185839,5.65025551185839,0.0763995187867805,-0.0458648980423592,2,NaN,93.627
crossing,0,0,1,cartesian,1,1,240,,,9.51831575298627,9.51785421911582,0.0937555830395087,-0.00164822859109466,0,29.4912,866.546
crossing,0,0,1,nrmm-boxOnly,1,1,240,,,9.51831473391955,9.51785308464533,0.0937610369981339,-0.00164822859111662,0,NaN,188.459
crossing,0,0,1,nrmm-egoOnly,1,1,240,,,9.51831472759639,9.51785307776251,0.0937610375640634,-0.00164822859111646,0,NaN,107.881
crossing,0,0,1,nrmm-reactive,1,1,240,,,9.51831470265736,9.51785305182185,0.0937610375603904,-0.0016482285911164,1,NaN,369.106
crossing,0,0,3,cartesian,1,1,240,,,9.51831574406311,9.51785421109634,0.0937556652679688,-0.00164822859109492,0,29.4912,754.799
