caseIndex,group,scenario,curvature,parameters,completed,passed,executedHolds,failureIdentifier,failureMessage,minimumNodeGapM,minimumSampledGapM,minimumRoadMarginM,minimumDomainMargin,maximumClfResidual,maximumSlewViolation,maximumFrameMs,deadlineMisses,minimumSpeedMps,maximumAbsoluteHeadingRad
27,speed,oncoming,0,"[""ReferenceSpeed"",12]",1,1,240,,"",0.295545412613194,0.293893416225417,NaN,-0.277442329821356,-3.24224749631669e-06,0,39.662,0,10.3264122714465,0.669743328222622
28,speed,oncoming,0,"[""ReferenceSpeed"",18]",1,1,240,,"",0.190595450305617,0.190266816984799,NaN,-0.603854370593016,-7.03592178981385e-06,0,39.27,0,16.5430899273783,0.622677153137355
29,friction,oncoming,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.237534890799554,0.226230542119457,NaN,-0.276972015327584,-3.46125455516125e-06,0,43.57,0,6.97142516782253,0.676454005698039
30,friction,oncoming,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.251305406350821,0.251305406350821,NaN,-0.278887369798148,-6.86854710677503e-06,0,39.484,0,6.50845047093381,0.674357073065094
31,friction,oncoming,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.271593059947807,0.266639448912552,NaN,-0.291823324432342,-3.09011236028395e-06,0,43.995,0,5.54267149774801,0.676113035879822
32,samplePeriod,oncoming,0,"[""SampleTime"",0.02]",1,1,240,,"",0.11169437190613,0.111183908494957,NaN,-0.170073353899851,-1.68836486039787e-05,0,96.215,126,7.89315471650998,0.569345887455492
33,samplePeriod,oncoming,0,"[""SampleTime"",0.1]",1,1,240,,"",0.235913596464997,0.188209471706996,NaN,-0.329240455044499,-4.27375837174439e-06,0,24.509,0,6.04669123099054,0.725128904005128
34,samplePeriod,oncoming,0,"[""SampleTime"",0.2]",1,1,240,,"",0.756027291795729,0.531083204899792,NaN,-0.289474322544595,-2.96663562127496e-06,0,12.808,0,7.99999323409254,0.674238836863896
35,slew,oncoming,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; previous-plan directions rejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2). No command was issued.",13.5999919581725,13.5999919581725,NaN,0.4,-5.97861892098265e-06,0,221.162,1,8,5.18108363490133e-20
36,slew,oncoming,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; previous-plan directions rejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2). No command was issued.",13.5999913276645,13.5999913276645,NaN,0.4,-8.32391212882882e-06,0,208.183,1,7.99999939893781,7.71064434087401e-20
37,speed,oncoming,0.01,"[""ReferenceSpeed"",2]",0,0,83,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=4.15 s (Fixed-direction trajectory optimization failed: solverRejected: Solver success rejected by primal feasibility check: 1.3194e-08; previous-plan directions rejected: Solver success rejected by primal feasibility check: 2.1803e-09; alternate directions invalidFit). No command was issued.",13.4903919468924,13.4903919468924,NaN,0.3838153732636,-2.50918569189835e-05,0,194.93,1,1.9999999874862,0.0161846267363997
38,speed,oncoming,0.01,"[""ReferenceSpeed"",5]",1,1,240,,"",0.200718595054805,0.160494981438011,NaN,-0.275490302150437,-4.51052173911832e-06,0,56.504,1,4.36016155197548,0.675490302150437
39,speed,oncoming,0.01,"[""ReferenceSpeed"",12]",1,1,240,,"",0.210019312775716,0.209895479222039,NaN,-0.190318266140396,-3.32052928945911e-06,0,33.261,0,9.12348337602007,0.586397218630057
40,speed,oncoming,0.01,"[""ReferenceSpeed"",18]",1,1,240,,"",0.202706931124907,0.19623853134917,NaN,-0.10548458707748,-6.20450542775405e-06,0,31.613,0,14.5286807591477,0.495693033822669
41,friction,oncoming,0.01,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.338468557720144,0.332619498295174,NaN,-0.268318910181024,-3.76343791308317e-06,0,45.756,0,7.07437328845385,0.655531502982516
42,friction,oncoming,0.01,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.357305113228407,0.357130114157021,NaN,-0.306380966380706,-3.42551621297096e-06,0,39.487,0,6.50954661289727,0.703458947325031
43,friction,oncoming,0.01,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.383270723874977,0.377084415559373,NaN,-0.311511651801971,-2.85963228885667e-06,0,41.028,0,5.76775939591652,0.709018680712337
44,samplePeriod,oncoming,0.01,"[""SampleTime"",0.02]",1,1,240,,"",0.219916279382661,0.218627352945931,NaN,-0.186034362011164,-1.6097329165354e-05,0,96.35,124,7.70702910266082,0.585857531697266
45,samplePeriod,oncoming,0.01,"[""SampleTime"",0.1]",1,1,240,,"",0.33886368519125,0.288354292400883,NaN,-0.381539513648435,-3.73256538202345e-06,0,20.752,0,6.199849545944,0.756885727399885
46,samplePeriod,oncoming,0.01,"[""SampleTime"",0.2]",1,0,240,,"",0.47658587439966,-0.0164827015899363,NaN,-0.331289751139681,-3.08420653999204e-06,0,13.827,0,7.22319562452276,0.726373694908191
47,slew,oncoming,0.01,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; previous-plan directions rejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2). No command was issued.",13.5018818855962,13.5018818855962,NaN,0.386676159060482,-2.46726633752164e-06,0,178.119,1,7.99976696219375,0.013250582534926
48,slew,oncoming,0.01,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; previous-plan directions rejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2). No command was issued.",13.5015599931432,13.5015599931432,NaN,0.388682256552365,-5.20240219399538e-06,0,181.872,1,7.99999751230118,0.0113177431323784
49,speed,crossing,0,"[""ReferenceSpeed"",2]",1,1,240,,"",11.1688230324818,11.168773133076,NaN,0.39996702722349,-1.55361827701052e-05,0,17.99,0,1.99999999801091,3.29017593240577e-05
50,speed,crossing,0,"[""ReferenceSpeed"",5]",1,1,240,,"",10.3963054277455,10.3755976661726,NaN,0.399949498715204,-7.37832444182998e-06,0,18.495,0,4.99999992380514,5.02421734754131e-05
51,speed,crossing,0,"[""ReferenceSpeed"",12]",1,1,240,,"",8.35848675971748,8.32748739510231,NaN,0.399894028825197,-5.8885645078139e-06,0,16.795,0,11.999935790874,0.00010577345930818
52,speed,crossing,0,"[""ReferenceSpeed"",18]",1,1,240,,"",6.59125043590043,6.55042951150158,NaN,-3.18607557403539e-06,-7.53243803099007e-06,0,18.02,0,17.9994082257597,5.89624284053125e-05
53,friction,crossing,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",9.51969795527768,9.51952749295421,NaN,0.399886925399284,-3.49714946098696e-06,0,17.243,0,7.99999543355574,0.000112633735991508
54,friction,crossing,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",9.51965369014377,9.51948194188821,NaN,0.399834468486358,-3.53112738435258e-06,0,16.767,0,8,0.000162370914816717
55,friction,crossing,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",9.51957843727967,9.51940600510197,NaN,0.399861277576228,-4.88863666875842e-06,0,16.957,0,7.99999998971443,0.000138569115319812
56,samplePeriod,crossing,0,"[""SampleTime"",0.02]",1,1,240,,"",9.51946958274793,9.51926952705973,NaN,0.39967657754436,-1.02164908406832e-05,0,30.74,1,7.9999999199742,0.000323372699711606
57,samplePeriod,crossing,0,"[""SampleTime"",0.1]",1,1,240,,"",9.51966880937819,9.51966880937819,NaN,0.399920746038156,-5.79403634856939e-06,0,11.894,0,8,7.90599179281891e-05
