samplePeriod,stepMaximum,finite,positionRmse,velocityRmse,accelerationRmse,error
0.25,0.005,1,0.0529643163762726,0.361017272382139,0.426399086732324,
0.25,0.25,1,24.8378908674612,104.665201083631,179.982882716039,
0.3,0.005,1,0.121943613885221,0.642120824328948,0.863040459420952,
0.3,0.3,1,36518528.5678493,175966662.420334,302565634.568944,
0.5,0.005,1,1.70634085290148,5.77472564588706,7.01423902816626,
0.5,0.5,1,2.61276222996901e+15,1.43991773749646e+16,2.56863693293522e+16,
1,0.005,1,10005.8456364284,16762.5607471817,12141.9325220215,
1,1,1,2.333834649534e+15,1.33781737990961e+16,2.41352176824847e+16,
