group,scenario,curvature,uncertaintyScale,targetCurvature,targetSpeedRate,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
A-geometry,cruise,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.4,0.182404774101373,-8.43003141281889e-06,1,20.076
A-geometry,cruise,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307563640903,0.178098276731102,-8.02775001684245e-06,1,16.537
A-geometry,cruise,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307563640903,0.178098276731102,-8.02775001684638e-06,1,13.629
A-geometry,cruise,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683943561391,0.173700809763411,-7.72702087016285e-06,1,13.992
A-geometry,cruise,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683943561391,0.173700809763413,-7.72702087015517e-06,1,14.619
A-geometry,cruise,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133843889697,0.169218415007404,-7.44785879713671e-06,1,15.859
A-geometry,cruise,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133843889697,0.169218415007404,-7.44785879714964e-06,1,14.311
A-geometry,cruise,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.377662573546383,0.164657634514532,-7.1755644639738e-06,1,16.442
A-geometry,cruise,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.377662573546384,0.164657634514531,-7.17556446396322e-06,1,15.562
B-uncertainty,stationary,0,1,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.570576514709036,0.558700924929231,-0.123744184585628,0.178221008796412,-2.34771482863187e-05,1,66.09
B-uncertainty,stationary,0,3,0,0,0,0,0,0,1.6,16,1,1,240,,"",1.6301363906127,1.61833941258044,-0.356328372538065,0.170685546640431,-7.96725991274708e-05,1,54.002
B-uncertainty,stationary,0,10,0,0,0,0,0,0,1.6,16,1,1,240,,"",4.94128505757054,4.93864264021304,-4.28886503774189,0.143747013005647,-0.000561728255568107,1,50.796
B-uncertainty,stationary,0.01,1,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.54321743661905,0.532469869539442,-0.142207341267398,0.168200619391051,-0.000649267175605926,1,53.447
B-uncertainty,stationary,0.01,3,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.40437303882492,0.30811467761785,-0.0425271954587826,0.157887853077608,-0.00528442560494782,1,53.278
B-uncertainty,stationary,0.01,10,0,0,0,0,0,0,1.6,16,1,1,240,,"",3.95409846829765,3.95325067956712,-3.16723281929879,1.66172761457417e-05,-0.0543495410440888,1,49.925
B-uncertainty,oncoming,0,1,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.34418826715565,0.341123404581565,-0.279514799325556,0.17697447603167,-1.98129778776535e-05,1,46.329
B-uncertainty,oncoming,0,3,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.594878509920191,0.594316355739478,-0.305092471364169,0.169958525730467,-7.6878667201301e-05,1,42.658
