caseIndex,group,scenario,curvature,parameters,completed,passed,executedHolds,failureIdentifier,failureMessage,minimumNodeGapM,minimumSampledGapM,minimumRoadMarginM,minimumDomainMargin,maximumClfResidual,maximumSlewViolation,maximumFrameMs,deadlineMisses,minimumSpeedMps,maximumAbsoluteHeadingRad
27,speed,oncoming,0,"[""ReferenceSpeed"",12]",1,1,240,,"",0.295545399196013,0.293893403163425,NaN,-0.277442328288307,-3.24224749350171e-06,0,35.75,0,10.3264122737811,0.669743324972841
28,speed,oncoming,0,"[""ReferenceSpeed"",18]",1,1,240,,"",0.190595450394262,0.190266817074494,NaN,-0.603854368664315,-7.0359217888943e-06,0,32.472,0,16.5430899286842,0.622677153146487
29,friction,oncoming,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.237534848942399,0.226227468186392,NaN,-0.276972015342872,-3.46125453484246e-06,0,39.661,0,6.97148701851325,0.676454005557176
30,friction,oncoming,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.251306174904121,0.251306174904121,NaN,-0.278887370298853,-6.86854716185468e-06,0,38.294,0,6.50845028136548,0.674357073159364
31,friction,oncoming,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.271592844688068,0.266639221284658,NaN,-0.29182332442936,-3.09011239162142e-06,0,42.13,0,5.54267149683809,0.676113035991901
32,samplePeriod,oncoming,0,"[""SampleTime"",0.02]",1,1,240,,"",0.111694372915981,0.111183909436825,NaN,-0.17007335457987,-1.68836486039787e-05,0,98.253,79,7.8931547179908,0.569345888120657
33,samplePeriod,oncoming,0,"[""SampleTime"",0.1]",1,1,240,,"",0.306724431772094,0.2684472252705,NaN,-0.351863740990011,-4.278011221681e-06,0,23.055,0,6.10214216965943,0.748062276744618
34,samplePeriod,oncoming,0,"[""SampleTime"",0.2]",1,1,240,,"",1.03002257068625,0.801998301887648,NaN,-0.337593278750279,-2.96717793876521e-06,0,10.949,0,7.98833731023447,0.721626351870833
35,slew,oncoming,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; previous-plan directions rejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2). No command was issued.",13.5999919581725,13.5999919581725,NaN,0.4,-5.97861892098265e-06,0,330.807,1,8,5.18108363490133e-20
36,slew,oncoming,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.188851514915755,0.154623372056225,NaN,-0.307677331526278,-4.18088745776203e-06,0,246.204,1,6.42591269664762,0.504536679178185
37,speed,oncoming,0.01,"[""ReferenceSpeed"",2]",1,1,240,,"",0.53412070336603,0.533424355525793,NaN,0.0012116292642626,-1.9984181957518e-05,0,43.912,0,0.0012116292642626,0.367684145684285
38,speed,oncoming,0.01,"[""ReferenceSpeed"",5]",1,1,240,,"",0.200718648698399,0.160494870794867,NaN,-0.275490300920388,-4.51052173930766e-06,0,49.757,0,4.3601616121894,0.675490300920388
39,speed,oncoming,0.01,"[""ReferenceSpeed"",12]",1,1,240,,"",0.210019334414089,0.20989550853631,NaN,-0.19031827433083,-3.32052928068465e-06,0,38.437,0,9.12348337329856,0.58639723195857
40,speed,oncoming,0.01,"[""ReferenceSpeed"",18]",1,1,240,,"",0.202706931155522,0.196238531237845,NaN,-0.105484587085846,-6.20450543848411e-06,0,31.894,0,14.52868076021,0.495693033825814
41,friction,oncoming,0.01,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",0.338468557699522,0.332619498265207,NaN,-0.268318910066852,-3.76343791302957e-06,0,38.425,0,7.07437328734924,0.655531502916756
42,friction,oncoming,0.01,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",0.357306450715979,0.357131450708139,NaN,-0.306380966492669,-3.42551621282224e-06,0,44.495,0,6.50954656821581,0.703458947470448
43,friction,oncoming,0.01,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",0.383270712363309,0.377084405176489,NaN,-0.311511653160839,-2.85963228908562e-06,0,38.257,0,5.76775937644941,0.709018682213024
44,samplePeriod,oncoming,0.01,"[""SampleTime"",0.02]",1,1,240,,"",0.219916279319338,0.218627352921459,NaN,-0.18603436197709,-1.6097329165354e-05,0,96.863,111,7.70702986987352,0.585857531659378
45,samplePeriod,oncoming,0.01,"[""SampleTime"",0.1]",1,1,240,,"",0.409915629267089,0.371183244094673,NaN,-0.405068428585681,-3.73208154980168e-06,0,22.243,0,6.28631295310636,0.780450473304069
46,samplePeriod,oncoming,0.01,"[""SampleTime"",0.2]",1,1,240,,"",0.710670773614552,0.185078617566465,NaN,-1.14770002236248,-3.08184262030237e-06,0,14.205,0,6.90908804341311,0.775652878031593
47,slew,oncoming,0.01,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; previous-plan directions rejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2). No command was issued.",13.5018818855962,13.5018818855962,NaN,0.386676159060482,-2.46726633752164e-06,0,343.634,1,7.99976696219375,0.013250582534926
48,slew,oncoming,0.01,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; previous-plan directions rejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2). No command was issued.",13.5015599931432,13.5015599931432,NaN,0.388682256552365,-5.20240219399538e-06,0,371.73,1,7.99999751230118,0.0113177431323784
49,speed,crossing,0,"[""ReferenceSpeed"",2]",1,1,240,,"",11.1688230324818,11.168773133076,NaN,0.39996702722349,-1.55361827701052e-05,0,19.514,0,1.99999999801091,3.29017593240577e-05
50,speed,crossing,0,"[""ReferenceSpeed"",5]",1,1,240,,"",10.3963054277455,10.3755976661726,NaN,0.399949498715204,-7.37832444182998e-06,0,18.377,0,4.99999992380514,5.02421734754131e-05
51,speed,crossing,0,"[""ReferenceSpeed"",12]",1,1,240,,"",8.35848675971748,8.32748739510231,NaN,0.399894028825197,-5.8885645078139e-06,0,20.235,0,11.999935790874,0.00010577345930818
52,speed,crossing,0,"[""ReferenceSpeed"",18]",1,1,240,,"",6.59125043590043,6.55042951150158,NaN,-3.18607557403539e-06,-7.53243803099007e-06,0,17.713,0,17.9994082257597,5.89624284053125e-05
53,friction,crossing,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",9.51969795527768,9.51952749295421,NaN,0.399886925399284,-3.49714946098696e-06,0,17.314,0,7.99999543355574,0.000112633735991508
54,friction,crossing,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",9.51965369014377,9.51948194188821,NaN,0.399834468486358,-3.53112738435258e-06,0,17.668,0,8,0.000162370914816717
55,friction,crossing,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",9.51957843727967,9.51940600510197,NaN,0.399861277576228,-4.88863666875842e-06,0,19.28,0,7.99999998971443,0.000138569115319812
56,samplePeriod,crossing,0,"[""SampleTime"",0.02]",1,1,240,,"",9.51946958274793,9.51926952705973,NaN,0.39967657754436,-1.02164908406832e-05,0,38.134,79,7.9999999199742,0.000323372699711606
57,samplePeriod,crossing,0,"[""SampleTime"",0.1]",1,1,240,,"",9.51966933250078,9.51966933250078,NaN,0.399921147289258,-5.79811036111606e-06,0,13.325,0,8,7.86574549715992e-05
58,samplePeriod,crossing,0,"[""SampleTime"",0.2]",1,1,240,,"",10.050000692138,9.51971593871038,NaN,0.399975575095053,-2.660164248363e-06,0,12.347,0,7.99999307657256,2.42844712366654e-05
