group,scenario,curvature,uncertaintyScale,targetJerk,targetYawAcc,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
A-geometry,cruise,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683946493582,0.173699805417372,-6.32227979502058e-06,1,11.256
A-geometry,cruise,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133853101341,0.169217105525512,-6.20526716415287e-06,1,17.429
A-geometry,cruise,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133853101341,0.169217105525513,-6.20526716415395e-06,1,29.633
A-geometry,cruise,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.377662596358971,0.164656290524047,-6.08161843054586e-06,1,11.503
A-geometry,cruise,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.377662596358971,0.164656290524046,-6.08161843054265e-06,1,11.646
B-uncertainty,stationary,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.326637447599713,0.326570913314761,-0.0217722949585866,0.0765719344452303,-5.05726156074391e-05,1,81.79
B-uncertainty,stationary,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.981557058368384,0.981183423108634,-0.165179107037028,1.60250886430402e-05,-0.000274850012443973,1,49.381
B-uncertainty,stationary,0,10,0.2,0,0,0,0,0,1.6,16,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,NaN,NaN,0,40.435
B-uncertainty,stationary,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.425681177004145,0.42517146673145,-0.055666362390737,0.0081468294284156,-0.000366480104557271,1,63.84
B-uncertainty,stationary,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.160172153816665,0.159941667006817,0.104056554392383,1.61592873497568e-05,-0.00275838339829454,1,51.382
B-uncertainty,stationary,0.01,10,0.2,0,0,0,0,0,1.6,16,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,NaN,NaN,0,41.443
B-uncertainty,oncoming,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.35114575633437,0.334981207899004,-0.210634275858648,0.0161859689983826,-3.15167478363252e-05,1,33.394
B-uncertainty,oncoming,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.93962917969485,0.934290296601914,-0.281362564831814,0.0261065914631134,-0.000146313052572425,1,35.228
B-uncertainty,oncoming,0,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",2.92241426332095,2.92016621830759,-0.502975798711641,1.60020851625031e-05,-0.00121197821984733,1,33.011
B-uncertainty,oncoming,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.485806565199502,0.481855163859258,-0.112273070257958,1.60136610460049e-05,-0.000364737615844004,1,34.349
B-uncertainty,oncoming,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.151537730034562,0.149989270754589,-0.120236637912781,1.60065137632392e-05,-0.00275633831059524,1,33.75
B-uncertainty,oncoming,0.01,10,0.2,0,0,0,0,0,1.6,16,0,0,52,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=2.6 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",14.0185690257022,14.0185690257022,0.385470741133297,0.0516064193720894,-0.19929031609479,1,32.509
B-uncertainty,crossing,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",9.51962498766101,9.51962498766101,0.399745535118349,0.173377897200591,-2.20113094748928e-05,1,18.906
B-uncertainty,crossing,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",9.51947427336828,9.51947427336828,0.39911993417433,0.155355199488186,-8.09013432343043e-05,1,17.67
B-uncertainty,crossing,0,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",9.5189566350206,9.5189566350206,0.397115906209506,0.0922437614377799,-0.000579640693473887,1,17.101
B-uncertainty,crossing,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.466283027954647,0.457875546671691,-0.111603152166421,0.0297791758237614,-0.000364720755581738,1,54.242
