group,scenario,curvature,uncertaintyScale,targetJerk,targetYawAcc,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
A-geometry,stationary,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",9.27307660080599e-05,9.27307660080599e-05,0.048439253150617,0.144358047285843,-5.62969922733771e-06,1,901.672
A-geometry,stationary,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.050482199759019,0.0499179914249381,0.0379924566575058,0.0826951609063489,-5.14355082873103e-06,1,152.156
A-geometry,stationary,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0504821941005419,0.0499179876825636,0.037992456811848,0.0826951602608716,-5.14354110394105e-06,1,75.119
A-geometry,stationary,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0999690343779234,0.0994209557160086,0.0090439092187814,0.00682263887594892,-5.56651476663912e-06,1,55.163
A-geometry,stationary,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0999690352033408,0.0994209542084159,0.0090439091820152,0.00682259249450273,-5.56651476612605e-06,1,108.274
A-geometry,stationary,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.148138139452447,0.147453270006293,-0.0209058981192828,1.60114386134058e-05,-1.5350427808625e-06,1,51.329
A-geometry,stationary,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.148138138530897,0.14745326907975,-0.0209058982227745,1.60116011228006e-05,-1.53396286297106e-06,1,46.299
A-geometry,stationary,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197218887520609,0.197186708327277,-0.0431792684296853,1.60204477199777e-05,-5.42970166784705e-06,1,44.23
A-geometry,stationary,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197218888447098,0.197186709580316,-0.0431792686186063,1.60204478320825e-05,-5.42970166782339e-06,1,44.403
A-geometry,oncoming,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0477434859701363,0.0380623123767851,-0.155012439138929,0.0222092600945734,-5.63477955853627e-06,1,37.077
A-geometry,oncoming,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.101681407760221,0.0924368462245068,-0.173367333272693,0.00628577827782242,-5.59553081078381e-06,1,27.85
A-geometry,oncoming,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.101681390562023,0.0924368256054976,-0.173367334871678,0.00628578392669313,-5.59553085163022e-06,1,30.087
A-geometry,oncoming,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.153478637811587,0.144534434626544,-0.193471020699892,0.000192304514063185,-5.55751754464561e-06,1,31.924
A-geometry,oncoming,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.153478634388057,0.144534431004019,-0.193471021796195,0.000192323770779573,-5.55751746934746e-06,1,28.534
A-geometry,oncoming,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.201296917717002,0.192447038428528,-0.210384447753101,2.38599379839555e-05,-5.43576214988099e-06,1,28.13
A-geometry,oncoming,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.201296916629271,0.192447040737462,-0.210384446281034,2.38595770064576e-05,-5.4357621318681e-06,1,27.705
A-geometry,oncoming,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.257532592685226,0.252651334970293,-0.225170482775168,1.67370973191694e-05,-5.42876287669061e-06,1,26.869
A-geometry,oncoming,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.257532547184123,0.252651244831646,-0.225170485352874,1.67371012794737e-05,-5.42876288391209e-06,1,27.094
A-geometry,crossing,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",9.51967996780726,9.51967996780726,0.399855273069359,0.182328866769578,-5.75920305372379e-06,1,18.088
A-geometry,crossing,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.181155927114046,0.176456785322889,-0.194439608696942,0.11416962638106,-5.60168471697602e-06,1,48.763
A-geometry,crossing,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.147100436653932,0.122085513502235,-0.190997354670717,0.034398433788377,-5.6016572441093e-06,1,46.463
A-geometry,crossing,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.170805470386182,0.156727339202652,-0.211522528640848,0.120212122464926,-5.56585686916472e-06,1,43.516
A-geometry,crossing,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.120350524652063,0.0848078539375696,-0.257718668431111,1.60624102762963e-05,-5.56650549084689e-06,1,44.747
A-geometry,crossing,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.16924363020602,0.169046758947795,-0.235230490226257,0.0269801551641546,-5.50106850991101e-06,1,42.806
A-geometry,crossing,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.131078185426944,0.112120929061666,-0.258301033032007,1.63548669795954e-05,-5.50108486304052e-06,1,42.923
A-geometry,crossing,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.241881903139084,0.235701062962778,-0.286703257935467,1.60535791863814e-05,-5.13907684838132e-06,1,46.989
A-geometry,crossing,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.189924760185046,0.184308747001862,-0.206472933601504,0.11594955795968,-5.44092086027734e-06,1,49.068
A-geometry,cruise,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.4,0.182404774101373,-6.4779775960483e-06,1,18.709
A-geometry,cruise,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307564252542,0.178097736172348,-6.3942038634701e-06,1,12.335
A-geometry,cruise,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307564252542,0.178097736172348,-6.39420386366121e-06,1,10.993
A-geometry,cruise,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683946493582,0.173699804508018,-6.32227976784219e-06,1,10.937
A-geometry,cruise,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683946493582,0.173699804508019,-6.3222797679176e-06,1,11.826
A-geometry,cruise,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133853101341,0.16921710457552,-6.20526713634454e-06,1,10.786
A-geometry,cruise,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.383133853101341,0.169217104575521,-6.20526713634423e-06,1,11.012
A-geometry,cruise,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.377662596358971,0.164656289530144,-6.08161840182835e-06,1,13.125
A-geometry,cruise,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.37766259635897,0.164656289530142,-6.08161840186497e-06,1,10.878
B-uncertainty,stationary,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.315321796648659,0.315197646453834,-0.0208772550757551,0.0754765425184634,-5.03072851245174e-05,1,52.301
B-uncertainty,stationary,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.949725813899401,0.948880152792693,-0.16257760964549,1.60200216747231e-05,-0.000273140979199618,1,45.303
B-uncertainty,stationary,0,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",3.3932382177114,3.39068595345627,-2.4906829976537,1.60022361492818e-05,-0.00266557279002062,1,49.821
B-uncertainty,stationary,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.422165440963937,0.42154119127423,-0.0548054362099364,1.6033143534766e-05,-0.000363893169109468,1,47.857
B-uncertainty,stationary,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.389975961243259,0.386023944533568,-0.166268876368151,1.60040414508844e-05,-0.00279031186501315,1,48.131
B-uncertainty,stationary,0.01,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",3.46930023731697,3.46930023731697,-2.74381734031982,1.60017432538073e-05,-0.0303941977386993,1,47.499
B-uncertainty,oncoming,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.37038724184368,0.354888023388615,-0.212950505927997,0.00338136107287107,-3.18775617549832e-05,1,29.952
B-uncertainty,oncoming,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.999392365488897,0.990286689980479,-0.286538595788037,5.68006014795286e-05,-0.000143996380720017,1,30.544
B-uncertainty,oncoming,0,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",3.0538100674562,3.0538100674562,-0.77287476123514,1.60009294204455e-05,-0.00135972300133086,1,30.112
B-uncertainty,oncoming,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.521578541516687,0.514523614442832,-0.258147349929451,1.60141974945849e-05,-0.000362225559936387,1,31.008
B-uncertainty,oncoming,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",0.169336943160455,0.169017544906958,-0.115983374387416,1.60199614992196e-05,-0.00273561482404339,1,32.091
B-uncertainty,oncoming,0.01,10,0.2,0,0,0,0,0,1.6,16,0,0,60,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=3 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",7.69699618860751,7.69699618860751,0.0663906077476781,1.60027789841977e-05,-0.200879848174714,1,35.019
B-uncertainty,crossing,0,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",9.52078046964068,9.52078046964068,0.399692650699634,0.178150476303474,-2.13069810293781e-05,1,58.922
B-uncertainty,crossing,0,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",9.52295275904842,9.52295275904842,0.39904723639221,0.169668860448996,-7.66807761359587e-05,1,14.917
B-uncertainty,crossing,0,10,0.2,0,0,0,0,0,1.6,16,1,1,240,,"",9.53052822125697,9.53052822125697,0.396796640035224,0.139978058207631,-0.000673248563052575,1,16.32
B-uncertainty,crossing,0.01,1,0.02,0,0,0,0,0,1.6,16,1,1,240,,"",0.435508769184273,0.435508769184273,-0.259165324867584,0.0719888035487188,-0.00036234300297016,1,66.793
B-uncertainty,crossing,0.01,3,0.06,0,0,0,0,0,1.6,16,1,1,240,,"",1.36377748439164,1.36068970013421,-0.928009714780186,1.60151511146844e-05,-0.00273774490307965,1,48.029
B-uncertainty,crossing,0.01,10,0.2,0,0,0,0,0,1.6,16,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,NaN,NaN,0,47.243
C-targetJerk,oncoming,0,0,0.1,0,0,0,0,0,1.6,16,1,1,240,,"",0.324965794746209,0.324335859278112,-0.127996761602069,0.0495566542908716,-5.61833290444106e-06,1,27.932
C-targetJerk,oncoming,0,0,0.5,0,0,0,0,0,1.6,16,1,1,240,,"",0.240586244589794,0.208036641056565,0.372967250777367,0.177007135444334,-5.56645184133987e-06,1,25.039
C-targetJerk,oncoming,0,0,1,0,0,0,0,0,1.6,16,1,1,240,,"",2.34117586336075,2.34000888381114,0.399943516652877,0.182364243245247,-4.22334224917001e-06,1,21.752
C-targetYawAcc,oncoming,0,0,0,0.1,0,0,0,0,1.6,16,1,1,240,,"",0.638612911614436,0.637927774158516,-0.280808393139717,1.61524656034917e-05,-5.6492926202799e-06,1,27.843
C-targetYawAcc,oncoming,0,0,0,0.5,0,0,0,0,1.6,16,1,1,240,,"",0.406791069652382,0.339313036665434,-0.850491675162113,1.57700300255637e-05,-5.5238210380497e-06,1,29.129
C-targetJerk,crossing,0,0,0.1,0,0,0,0,0,1.6,16,1,1,240,,"",9.52022098471175,9.52022098471175,0.39985572562167,0.182329097345341,-5.75995450468777e-06,1,13.756
C-targetJerk,crossing,0,0,0.5,0,0,0,0,0,1.6,16,1,1,240,,"",9.52238577956041,9.52238577956041,0.399856322127606,0.182329398785773,-5.7608900676632e-06,1,13.477
C-targetJerk,crossing,0,0,1,0,0,0,0,0,1.6,16,1,1,240,,"",9.52509203528518,9.52509203528518,0.399857073542122,0.182329780803697,-5.76207979918399e-06,1,13.309
C-targetYawAcc,crossing,0,0,0,0.1,0,0,0,0,1.6,16,1,1,240,,"",9.52911006026078,9.52911006026078,0.399855765419992,0.182329117248427,-5.76001748305802e-06,1,13.505
C-targetYawAcc,crossing,0,0,0,0.5,0,0,0,0,1.6,16,1,1,240,,"",9.56716897535514,9.56716897535514,0.399855880689825,0.182329175481152,-5.76020481413341e-06,1,13.493
D-initLateral,cruise,0,0,0,0,0.5,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.3530825137295,0.136595127806554,-5.54457876415645e-06,1,9.625
D-initLateral,cruise,0,0,0,0,1,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.306165004418312,0.0908073975824865,-5.53749095944243e-06,1,10.087
D-initLateral,cruise,0,0,0,0,2,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.212329961037405,0.00453759393866607,-5.53114811862626e-06,1,9.71
D-initLateral,cruise,0,0,0,0,3,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.118480192506173,5.02460169230501e-05,-5.52697948880264e-06,1,12.528
D-initHeading,cruise,0,0,0,0,0,0.1,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.3,0.17181291638383,-5.56440946354609e-06,1,27.953
D-initHeading,cruise,0,0,0,0,0,0.2,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.2,0.161221566927055,-5.55549438557346e-06,1,9.552
D-initHeading,cruise,0,0,0,0,0,0.3,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.1,0.150634763372731,-5.55093010364787e-06,1,9.482
