group,scenario,curvature,uncertaintyScale,targetJerk,targetYawAcc,initialLateral,initialHeading,initialSpeed,roadBoundaries,horizonSeconds,confirmationRange,completed,passed,executedHolds,failureIdentifier,failureMessage,minNodeGap,minSampledGap,minDomainMargin,minTerminalMargin,maxClfResidual,recursiveFeasibilityGuaranteed,maxFrameMs
A-geometry,stationary,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",9.27880812198628e-05,9.27880812198628e-05,0.0484392360658055,0.144358305833994,-5.62971332711832e-06,1,874.285
A-geometry,stationary,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0504806178243825,0.0499172506445296,0.0379855356191053,0.0826924709757635,-5.15718653006179e-06,1,156.138
A-geometry,stationary,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0504806147975603,0.0499172483143972,0.0379855358045485,0.0826924695631445,-5.15719513856751e-06,1,82.011
A-geometry,stationary,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0999688334752692,0.0994193442685164,0.0090300573187439,0.006827152859359,-5.5665094910645e-06,1,54.118
A-geometry,stationary,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0999688352403213,0.0994193423974001,0.00903005722326211,0.00682708449769268,-5.56650948997562e-06,1,104.866
A-geometry,stationary,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.148101368800874,0.147436675248499,-0.0210402557988322,0.00528886105636994,-1.62103637166094e-06,1,52.51
A-geometry,stationary,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.148101369584758,0.147436676391993,-0.0210402529384672,0.00528886129090697,-1.62163641702091e-06,1,45.935
A-geometry,stationary,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197125883362021,0.197103121195925,-0.0434319286004118,0.00309788676411701,-5.42967426109195e-06,1,46.222
A-geometry,stationary,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.197125885485526,0.197103123059964,-0.0434319287283764,0.00309796305718679,-5.4296742611728e-06,1,44.613
A-geometry,oncoming,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0477434911353568,0.0380623379126873,-0.155012419977374,0.022209259567,-5.63477898718805e-06,1,38.821
A-geometry,oncoming,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0881219988391407,0.0852734276213375,-0.110361858897871,0.00620266810779932,-5.58846153173335e-06,1,28.061
A-geometry,oncoming,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0881220003639187,0.0852734287132129,-0.110361858841523,0.00620266560867724,-5.58846148372083e-06,1,28.83
A-geometry,oncoming,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.13598437767113,0.134197025123293,-0.111711211293717,1.69337843563266e-05,-5.56613605665805e-06,1,32.958
A-geometry,oncoming,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.13598437582871,0.134197030893197,-0.111711211238251,1.69337877743148e-05,-5.56613605637461e-06,1,29.763
A-geometry,oncoming,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.187499533198517,0.185597832988706,-0.119197478093794,1.74107746459262e-05,-5.50084088885542e-06,1,27.743
A-geometry,oncoming,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.187499532350936,0.185597832449376,-0.119197477321495,1.74107748026064e-05,-5.50084088808891e-06,1,27.468
A-geometry,oncoming,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.237350533165901,0.235659730330495,-0.122937574647188,1.60540948750676e-05,-5.42962839500293e-06,1,27.305
A-geometry,oncoming,-0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.237350541422647,0.235659765130141,-0.122937573225798,1.60541059474328e-05,-5.42962839122796e-06,1,28.643
A-geometry,crossing,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",9.51967996780724,9.51967996780724,0.399855273069205,0.182328867606309,-5.75920307404624e-06,1,15.997
A-geometry,crossing,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0348931133418425,0.0343772655515511,-0.105761019998775,0.133162584397033,-3.55737358121843e-06,1,44.706
A-geometry,crossing,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.0605001503909407,0.0575740286012656,-0.0945500665593515,0.131872238463055,-5.51348414077042e-06,1,44.195
A-geometry,crossing,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.164211426812923,0.155046182979554,-0.111491742614603,0.122506466408073,-5.56645520648591e-06,1,42.325
A-geometry,crossing,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.109994165300642,0.10109284911656,-0.090286266555143,0.125803357876725,-5.53466288435026e-06,1,46.342
A-geometry,crossing,0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.165058817879972,0.16420423738618,-0.116857393382634,0.00424162120350691,-5.50106509386861e-06,1,42.841
A-geometry,crossing,-0.015,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.142308527550533,0.142308527550533,-0.0839523063126163,0.119821326659283,-5.50232310786158e-06,1,43.9
A-geometry,crossing,0.02,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",0.265690674293707,0.258092017440284,-0.12260992504057,1.60056540981224e-05,-5.42973339080433e-06,1,45.478
A-geometry,crossing,-0.02,0,0,0,0,0,0,0,1.6,16,0,0,0,collisionAvoidanceController:optimizationFailed,"The hard-safety, soft-CLF search failed at t=0 s (Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2). No command was issued.",Inf,Inf,Inf,NaN,NaN,0,61.052
A-geometry,cruise,0,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.4,0.182404774938027,-6.47797762224375e-06,1,45.156
A-geometry,cruise,0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307564252542,0.178097737044017,-6.39420389047544e-06,1,14.164
A-geometry,cruise,-0.005,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.394307564252542,0.178097737044017,-6.39420389063877e-06,1,10.551
A-geometry,cruise,0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683946493582,0.173699805417371,-6.32227979509372e-06,1,10.355
A-geometry,cruise,-0.01,0,0,0,0,0,0,0,1.6,16,1,1,240,,"",Inf,Inf,0.388683946493582,0.173699805417372,-6.32227979502058e-06,1,10.693
