case,seed,positionRmse,velocityRmse,bodyVelocityRmse,accelerationRmse,egoPositionRmse,egoVelocityRmse,egoYawRmse,targetHeadingRmse,positionStartupPeak,positionPostTransientPeak,bodyVelocityStartupPeak,bodyVelocityPostTransientPeak,accelerationStartupPeak,accelerationPostTransientPeak,domainValidFraction,speedViolationFraction,scalarAccelerationViolationFraction,curvatureViolationFraction,rangeViolationFraction,boundAvailableFraction,boundContainmentFraction,boundMeanM,boundMaximumM,boundMinimumSlackM,stepMeanMs,stepMedianMs,stepP95Ms,stepMaximumMs,deadlineMisses,curvatureLagS,outagePositionPeakM,postReacquisitionAccelerationPeakMps2,positionRecoveryTo015MSeconds
retained-noise,16,0.05146842042008087,0.5143480187678289,0.5143268460570933,1.9423395485897295,0.010376134444707207,0.012057279473953518,0.0008508757338583807,0.020747856302743155,1.118033988749895,0.11552995034611437,10.358806082995129,1.0853624866638543,34.84384002638621,4.2341543605140295,0.5708582834331337,0.0,0.10978043912175649,0.34530938123752497,0.0,1.0,1.0,1.693642843183253,1.76802447122802,1.2506299430569707,2.1402116666666666,2.126,2.2400499999999997,5.158,0,,,,
varying-noise,7,0.04443039018997246,0.4321783007210297,0.43194864918932635,1.5616082540412113,0.010986739713750672,0.011310749786925528,0.000900242111910402,0.014813358199068469,1.118033988749895,0.09139153947367984,9.433025122665448,1.0490302119443986,30.016109979667636,3.921152238559231,0.7764471057884231,0.0,0.08782435129740519,0.14570858283433133,0.0,1.0,1.0,1.7456086258124501,1.97379396033177,1.1844772945122797,2.281916666666667,2.215,2.6132999999999997,10.812000000000001,0,0.40000000000000013,,,
varying-noise,8,0.0457628564450008,0.4429928473980012,0.44300491471722775,1.6046384719923437,0.009064333093074374,0.011486103726241313,0.0009153220046400592,0.014342900640119494,1.118033988749895,0.09940765701881825,9.523148915472905,0.9691740189681393,30.26978605855144,3.5174916198598223,0.7305389221556886,0.0,0.12974051896207583,0.14770459081836326,0.0,1.0,1.0,1.7443911191216694,1.97432905439069,1.2475252367506284,2.206923333333333,2.16,2.363,11.644,0,0.30000000000000004,,,
varying-noise,9,0.04439596286775236,0.42655649717551,0.42648034095370047,1.539193924551825,0.010553198781613376,0.011200764897621934,0.0008868624958910163,0.014314308966371033,1.118033988749895,0.12099357180757717,9.58699920596895,1.1163859917111074,30.927993743881444,4.344627637692242,0.7305389221556886,0.0,0.10379241516966067,0.17564870259481039,0.0,1.0,1.0,1.7449210180955796,1.99220921965296,1.242463998199098,2.21169,2.179,2.3380499999999995,5.412,0,0.30000000000000004,,,
varying-noise,10,0.04592791081590637,0.45062478977554143,0.45041598708094754,1.630908152603044,0.010994930809703339,0.012011115626971162,0.0008868102602987815,0.016197814248086535,1.118033988749895,0.11204010075651326,9.92507084098836,1.0921537332944111,31.73128501243439,3.57208660878668,0.7065868263473054,0.0,0.10578842315369262,0.19161676646706588,0.0,1.0,1.0,1.7450883737551517,1.97806864014873,1.2589730224395723,2.1917383333333333,2.1485000000000003,2.4093999999999998,7.139,0,0.1200000000000001,,,
varying-noise,11,0.047381686139878705,0.46226297401967836,0.4623128051685609,1.6731683565277384,0.009805218927636328,0.011706781152656708,0.000800683280700366,0.016354887213389648,1.118033988749895,0.10398105048167573,9.785804362119727,0.9788507912035866,30.710933026497006,3.7693088297217727,0.6966067864271457,0.0,0.12974051896207583,0.19760479041916168,0.0,1.0,1.0,1.7455756994291274,2.00096293299438,1.2742406521724794,2.2279266666666664,2.1679999999999997,2.5644499999999995,5.568,0,0.21999999999999997,,,
varying-noise,12,0.04668714644418682,0.45163789281953914,0.45135865412479076,1.6221834927013385,0.012267818189184801,0.012368701379387103,0.0008896118440974661,0.01478638000235777,1.118033988749895,0.10604283121882953,9.662496246365448,0.9603196979816069,31.33902907370552,3.366958702684027,0.7405189620758483,0.0,0.12574850299401197,0.1497005988023952,0.0,1.0,1.0,1.746467679405302,2.02644337740074,1.3245878614680089,2.2476416666666665,2.1745,2.62805,5.395,0,0.17999999999999994,,,
varying-noise,13,0.04646278536536952,0.436448755005003,0.43658595047021254,1.5672987208371527,0.01143868585489042,0.012298641853090344,0.0008656276891732853,0.01481100299496675,1.118033988749895,0.09791218215360735,9.957939087030747,1.0176220854436988,30.794143828529887,3.7745380146238188,0.7564870259481038,0.0,0.10379241516966067,0.14770459081836326,0.0,1.0,1.0,1.744988742993481,1.98942694281187,1.2476660709586842,2.1793583333333335,2.154,2.3301,5.852,0,0.28,,,
varying-noise,14,0.046616713269114714,0.45045573630642705,0.45039639724176495,1.6291140960182864,0.011542593587203557,0.011704459193747003,0.0008702646426871675,0.014682245779925402,1.118033988749895,0.10388382042714221,9.440534443679677,0.9693277390742234,28.902492010866172,3.73291422140033,0.7065868263473054,0.0,0.13572854291417166,0.16766467065868262,0.0,1.0,1.0,1.7456593334253787,1.98379139759745,1.225205339090953,2.1646516666666664,2.14,2.3000499999999997,5.356,0,0.28,,,
varying-noise,15,0.04579949155998574,0.44289433670317807,0.44285290560691815,1.6050731554844593,0.012285537631745207,0.011626355190478955,0.0008349327125809356,0.01577896173701667,1.118033988749895,0.09186281024293332,10.12053292062204,0.9119426058147668,32.60509107852656,3.468436925644874,0.7544910179640718,0.0,0.09181636726546906,0.16367265469061876,0.0,1.0,1.0,1.7454415119162907,1.9761747388125,1.1894723362553148,2.2218233333333335,2.155,2.6252999999999997,5.205,0,0.30000000000000004,,,
varying-noise,16,0.05012790108177389,0.47594725074697136,0.47594268374702026,1.7095561610772385,0.010447802175231873,0.012076683148208115,0.000842220232799153,0.017554884596768586,1.118033988749895,0.11226763207864467,9.833319186723076,1.0233282655110345,31.195443300155077,3.726523787405086,0.6966067864271457,0.0,0.11177644710578842,0.1996007984031936,0.0,1.0,1.0,1.7456009848108203,1.99591196765654,1.2624654903928958,2.149418333333333,2.124,2.2882000000000002,5.704,0,0.10000000000000009,,,
dropout-noise,7,0.27355526955453213,1.6686999899466417,1.6687093172805942,5.8689770662591485,0.01089819651546495,0.011393974550297479,0.0009063844235336914,0.15414862426140322,1.118033988749895,1.6625606617178068,9.842213951306832,14.362930926312973,33.54958192039649,52.67045854974499,0.5608782435129741,0.01996007984031936,0.23552894211576847,0.2654690618762475,0.0,1.0,1.0,5.989469180357519,89.1731624445997,1.148400283810216,2.192016666666667,2.142,2.4531499999999995,6.0600000000000005,0,,1.6625606617178068,52.67045854974499,0.2599999999999998
dropout-noise,8,0.15369315712572124,0.9604606363194598,0.960244003836721,3.416909702157454,0.009168602506618514,0.011543322171490582,0.0009188974563661638,0.04419108472599167,1.118033988749895,0.8926855225431815,10.027604030485762,7.610577758040978,33.79769012525804,28.981845555248192,0.5449101796407185,0.0,0.1536926147704591,0.3652694610778443,0.0,1.0,1.0,5.9027769195468975,87.0212390235213,1.2396387166587388,2.241968333333333,2.177,2.6190499999999997,5.365,0,,0.8926855225431815,28.981845555248192,0.20000000000000018
dropout-noise,9,0.2307478523568547,1.4161585424102539,1.4162526769047783,4.988503574825568,0.010598831952711182,0.011252912997335928,0.0008924437500192232,0.0873781390950763,1.118033988749895,1.3827709567107105,10.148352677784272,12.242782646394927,34.60016388108521,45.28705666348391,0.624750499001996,0.0,0.1217564870259481,0.3033932135728543,0.0,1.0,1.0,5.931271423856074,87.6169327577757,1.233055059113883,2.2099966666666666,2.1645000000000003,2.4560999999999997,5.392,0,,1.3827709567107105,45.28705666348391,0.2599999999999998
dropout-noise,10,0.18017287206322039,1.0914233975639835,1.0913221650352065,3.867259101541906,0.011243967746582552,0.012016592942061876,0.0008946402443165424,0.041556538981165035,1.118033988749895,1.008392696980238,10.465312568162815,9.039445709518114,35.48469762655863,32.66110938912348,0.6107784431137725,0.003992015968063872,0.1536926147704591,0.3013972055888224,0.0,1.0,1.0,5.89297524934166,86.790206479993,1.2427974305271556,2.2138766666666667,2.1710000000000003,2.5111,5.199,0,,1.008392696980238,32.66110938912348,0.2400000000000002
dropout-noise,11,0.3610044870054151,2.1569749261681923,2.15697193630543,7.5569409047447,0.009903271762683349,0.011671275894670789,0.0008089862808761506,0.12873042490826103,1.118033988749895,2.1471152066819696,10.33345646379768,18.152667044109975,34.37930575623747,67.26178910767608,0.5129740518962076,0.007984031936127744,0.14570858283433133,0.4091816367265469,0.0,1.0,1.0,5.942085083288735,87.7330519929138,1.2553438314239629,2.3846883333333335,2.2104999999999997,2.9322,5.37,0,,2.1471152066819696,67.26178910767608,0.28000000000000025
dropout-noise,12,0.2419692306267959,1.4929949500971307,1.4929307641608336,5.263331857407214,0.01254481780279863,0.012354790874974831,0.000896740535015434,0.1109153040618369,1.118033988749895,1.4563232184406938,10.271685777599819,12.88813476754841,35.04716020376165,47.42971883030271,0.6427145708582834,0.0,0.17764471057884232,0.2694610778443114,0.0,1.0,1.0,5.9630072808913255,88.3726338817088,1.3076919283611184,2.155213333333333,2.133,2.2571499999999993,5.207,0,,1.4563232184406938,47.42971883030271,0.2400000000000002
dropout-noise,13,0.24895724572942265,1.5059667730237087,1.5059405821484255,5.279491555678397,0.011543493582556564,0.012276427656472653,0.0008735362789383921,0.02732667879057432,1.118033988749895,1.5031134846882703,10.511939591616034,12.767373853806674,34.429248404744776,46.99918199588218,0.5688622754491018,0.013972055888223553,0.15768463073852296,0.35129740518962077,0.0,1.0,1.0,5.875466068882809,86.1472366483568,1.2237111936261555,2.137355,2.124,2.2310999999999996,5.207,0,,1.5031134846882703,46.99918199588218,0.2599999999999998
dropout-noise,14,0.1074180999969783,0.6861202272469392,0.6859826081610017,2.476526039117778,0.011848152375094506,0.011685270217326977,0.0008756756152033863,0.03306985370925848,1.118033988749895,0.5407870334102353,9.966629602914516,4.788536184270368,32.09295996943788,17.0640655738221,0.6327345309381237,0.0,0.14171656686626746,0.2654690618762475,0.0,1.0,1.0,5.910936560855583,87.2748941082341,1.2157653860479387,2.1433166666666668,2.126,2.2510999999999997,5.247,0,,0.5407870334102353,17.0640655738221,0.040000000000000036
dropout-noise,15,0.16691325231449772,1.0594637289463769,1.0594364545817867,3.760089465028763,0.012194488027217195,0.011610860183426974,0.0008448537199335122,0.02232008116669579,1.118033988749895,0.9832026245593852,10.680812313514165,8.538045256107024,36.50398102576267,32.59293862360451,0.6347305389221557,0.005988023952095809,0.13373253493013973,0.2874251497005988,0.0,1.0,1.0,5.8844690170405,86.5511851451938,1.1800650884740205,2.1692116666666665,2.13,2.3853999999999993,5.12,0,,0.9832026245593852,32.59293862360451,0.2400000000000002
dropout-noise,16,0.43577688488544786,2.594997042062706,2.595027585407027,9.094201565892492,0.010376134444707207,0.012057279473953518,0.0008508757338583807,0.18616284461299648,1.118033988749895,2.6329318737485963,10.358806082995129,23.005079313788876,34.84384002638621,84.36989621372717,0.4810379241516966,0.0,0.26147704590818366,0.4411177644710579,0.0,1.0,1.0,5.997194464469353,89.1595706766644,1.2506299430569707,2.156005,2.139,2.246,5.718,0,,2.6329318737485963,84.36989621372717,0.41999999999999993
retained-noise-25Hz,7,0.07537083897888651,0.7604123320855786,0.7598687370008073,2.8367111674939958,0.015811078947661813,0.02296523531035758,0.0017849068979389755,0.03066591927842334,1.118033988749895,0.147349172259835,11.183822476517337,1.5954235327568742,35.63243998292429,5.733635349658696,0.3147410358565737,0.0,0.350597609561753,0.5258964143426295,0.0,1.0,1.0,3.21548434250567,3.29789499841612,2.3724956282278127,2.959086666666667,2.9185,3.2043000000000004,6.274,0,,,,
retained-noise-25Hz,8,0.0671783499049158,0.6807212054831612,0.6803075006113753,2.5493313574706815,0.018605567120021326,0.022847514422285935,0.0017307437799611196,0.02563889091066483,1.118033988749895,0.1548153261348854,11.7955843082145,1.5173789544069711,37.99389925413819,5.568093392195304,0.4342629482071713,0.0,0.30677290836653387,0.40239043824701193,0.0,1.0,1.0,3.2158264027264734,3.30413715940408,2.322259554007577,2.9547566666666665,2.9124999999999996,3.1644500000000004,6.228,0,,,,
retained-noise-25Hz,9,0.06836053940423026,0.686711049560905,0.6863904579523924,2.576132771934039,0.01660562259064526,0.023629794621682854,0.0017406728658706718,0.02757841991160619,1.118033988749895,0.14453701500816513,11.699805982116322,1.4688564661345829,37.78119534773914,5.050379605789082,0.4262948207171315,0.0,0.3107569721115538,0.41434262948207173,0.0,1.0,1.0,3.2143345083181134,3.29289116764184,2.3489404700808083,2.9982966666666666,2.9450000000000003,3.3071,6.755,0,,,,
retained-noise-25Hz,10,0.0736631020922345,0.7347394137101984,0.734267215312576,2.7437632089767567,0.016377031980539802,0.024210786519095633,0.0018079471813034276,0.032245604460802546,1.118033988749895,0.14860187123811955,11.533427739909628,1.6902345235588248,36.83673544835912,5.804854574931491,0.3904382470119522,0.0,0.29880478087649404,0.47410358565737054,0.0,1.0,1.0,3.215109793305314,3.30400027447021,2.423136646899799,2.9892933333333334,2.9375,3.3781000000000003,6.306,0,,,,
retained-noise-25Hz,11,0.07133809410824744,0.7059487609617875,0.7057349052464597,2.6368163818612538,0.017606779960139606,0.02331033589778478,0.0017272150119906412,0.028791003714876237,1.118033988749895,0.1414327769185972,11.494058838357724,1.6057248747279191,37.00540866520188,5.7809708032498826,0.4103585657370518,0.0,0.3147410358565737,0.4342629482071713,0.0,1.0,1.0,3.213902597536212,3.30252290562469,2.4510623233428506,2.9829433333333335,2.9475,3.20515,6.168,0,,,,
retained-noise-25Hz,12,0.07176440850013434,0.7151876523340489,0.7146984241804448,2.6707569923641996,0.018962655584006935,0.023357481268817797,0.0017448375249527266,0.03097107044170749,1.118033988749895,0.15939957801317456,10.864034148822805,1.7557751199114673,34.89795392858578,6.033763539342838,0.4063745019920319,0.0,0.24701195219123506,0.5099601593625498,0.0,1.0,1.0,3.2140881390396223,3.32772974139079,2.404070276625443,3.0505199999999997,2.9815,3.3564,6.917000000000001,0,,,,
retained-noise-25Hz,13,0.07381998177900045,0.7473601700554736,0.746657879518501,2.7942763678944003,0.018183410291761678,0.023370137468614854,0.001736162036090187,0.031449775735433935,1.118033988749895,0.145293373164271,12.13588492379863,1.3552270981839587,39.155252632750326,5.674843644866362,0.30278884462151395,0.0,0.35856573705179284,0.46215139442231074,0.0,1.0,1.0,3.2159589407134774,3.3049449530374,2.383428302393057,3.0010533333333336,2.969,3.18305,6.53,0,,,,
retained-noise-25Hz,14,0.0748192208714401,0.7568395732936907,0.7564473956142975,2.8308729701379227,0.016829086780768537,0.024223423971610158,0.001735345618290715,0.0300257190717055,1.118033988749895,0.158521189912501,11.671974033848855,1.5964857548881355,37.25293723391868,6.272043212843617,0.33067729083665337,0.0,0.3745019920318725,0.4581673306772908,0.0,1.0,1.0,3.216654086313136,3.30462787573392,2.3230138676521044,3.0689433333333334,2.991,3.8333500000000003,6.785,0,,,,
retained-noise-25Hz,15,0.07332235047229001,0.7411525045965004,0.7409898516599926,2.778555148844726,0.016634438279520665,0.022732234102711697,0.0017078516403629402,0.02940133012617495,1.118033988749895,0.15222056144948903,11.304566856317171,1.5565949527846472,36.33650117113395,6.070356254881886,0.3705179282868526,0.0,0.3784860557768924,0.41434262948207173,0.0,1.0,1.0,3.2158841977269916,3.29898209423961,2.3851939496422134,3.0423600000000004,2.9650000000000003,3.51975,6.8500000000000005,0,,,,
retained-noise-25Hz,16,0.06961686266881362,0.6916301193511823,0.6909693942799717,2.587606845334276,0.018229017738702658,0.022776251860068437,0.0017579691907064524,0.03005779793081427,1.118033988749895,0.14347790871675392,11.745927816301236,1.634424713860755,37.666986703009556,6.266418291153399,0.3904382470119522,0.0,0.26693227091633465,0.46215139442231074,0.0,1.0,1.0,3.2146778840228456,3.29539130759335,2.3007659410176085,2.970833333333333,2.944,3.09505,6.5760000000000005,0,,,,
