case,seed,positionRmse,velocityRmse,bodyVelocityRmse,accelerationRmse,egoPositionRmse,egoVelocityRmse,egoYawRmse,targetHeadingRmse,positionStartupPeak,positionPostTransientPeak,bodyVelocityStartupPeak,bodyVelocityPostTransientPeak,accelerationStartupPeak,accelerationPostTransientPeak,domainValidFraction,speedViolationFraction,scalarAccelerationViolationFraction,curvatureViolationFraction,rangeViolationFraction,boundAvailableFraction,boundContainmentFraction,boundMeanM,boundMaximumM,boundMinimumSlackM,stepMeanMs,stepMedianMs,stepP95Ms,stepMaximumMs,deadlineMisses,curvatureLagS,outagePositionPeakM,postReacquisitionAccelerationPeakMps2,positionRecoveryTo015MSeconds
retained-noise-free,7,7.918250255126136e-06,0.015064105847330369,0.009382415740558593,0.005706414727331231,0.005148055980547964,0.0113292708307427,0.0008530679740492621,0.0010985570498299002,1.118033988749895,5.31386526146652e-05,10.312059976510563,0.013619457333320291,34.822781905063856,0.020824109918868614,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.6493488914628291,1.67608636644315,1.2563155815277087,2.2084283333333334,2.164,2.3451999999999997,10.01,0,,,,
retained-noise,7,0.045883500661883354,0.4701403854039681,0.46994088611881224,1.786138642830118,0.01089819651546495,0.011393974550297479,0.0009063844235336914,0.017366588638258563,1.118033988749895,0.09431317674511522,9.842213951306832,1.1517603536657541,33.54958192039649,4.472851453935119,0.6526946107784432,0.0,0.11776447105788423,0.2694610778443114,0.0,1.0,1.0,1.693663923067584,1.78470249469425,1.1734372646229365,2.2764733333333336,2.184,2.850099999999999,6.069,0,,,,
retained-noise,8,0.047121599757837224,0.4800609656111116,0.48002061479454095,1.8246480800345148,0.009168602506618514,0.011543322171490582,0.0009188974563661638,0.01689572743621571,1.118033988749895,0.10071020990978975,10.027604030485762,1.0261366324706407,33.79769012525804,4.014692594413661,0.6287425149700598,0.0,0.13572854291417166,0.26746506986027946,0.0,1.0,1.0,1.6924490623932664,1.7658010858741,1.2396387166587388,2.1481033333333333,2.134,2.2262,5.423,0,,,,
retained-noise,9,0.0456945966424066,0.46249299334505967,0.4623741687981248,1.7516887156093592,0.010598831952711182,0.011252912997335928,0.0008924437500192232,0.016257290668720583,1.118033988749895,0.12204385084879454,10.148352677784272,1.230361461495396,34.60016388108521,4.954968973439002,0.6307385229540918,0.0,0.11377245508982035,0.2874251497005988,0.0,1.0,1.0,1.6929733698666578,1.7583972755216,1.233055059113883,2.1456183333333336,2.13,2.2300500000000003,5.301,0,,,,
retained-noise,10,0.04725713860839205,0.4874817592995908,0.48731099195038774,1.8517388689082206,0.011243967746582552,0.012016592942061876,0.0008946402443165424,0.018442362976299337,1.118033988749895,0.11407784122909002,10.465312568162815,1.1305760937099623,35.48469762655863,4.019275834141383,0.6027944111776448,0.0,0.12574850299401197,0.29740518962075846,0.0,1.0,1.0,1.6931488384377746,1.76291317684529,1.2427974305271556,2.142411666666667,2.1245000000000003,2.2010999999999994,5.854,0,,,,
retained-noise,11,0.04877780926930751,0.5008444324139979,0.5008582900323834,1.903401143283834,0.009903271762683349,0.011671275894670789,0.0008089862808761506,0.019342088638971425,1.118033988749895,0.10462074302379104,10.33345646379768,1.0626923350049056,34.37930575623747,4.389065568799603,0.6007984031936128,0.0,0.13572854291417166,0.2994011976047904,0.0,1.0,1.0,1.69361457251228,1.77143671552129,1.2553438314239629,2.1456216666666665,2.1315,2.234,5.114999999999999,0,,,,
retained-noise,12,0.048051778213911926,0.48910897352270827,0.4888929026986235,1.8488745013891439,0.01254481780279863,0.012354790874974831,0.000896740535015434,0.017260463295077567,1.118033988749895,0.10978578634674187,10.271685777599819,1.0265180864561374,35.04716020376165,3.8564835977900658,0.6427145708582834,0.0,0.1536926147704591,0.2554890219560878,0.0,1.0,1.0,1.6944809213212073,1.78698979566476,1.3076919283611184,2.1435766666666667,2.1220000000000003,2.2251,5.368,0,,,,
retained-noise,13,0.04762672299276103,0.4711457312103016,0.4710996925441485,1.772672597331551,0.011543493582556564,0.012276427656472653,0.0008735362789383921,0.01680356826670903,1.118033988749895,0.0997102706179983,10.511939591616034,1.0812704906719501,34.429248404744776,4.3504082449161805,0.6646706586826348,0.0,0.11976047904191617,0.25349301397205587,0.0,1.0,1.0,1.6929545159454134,1.76992742799991,1.2237111936261555,2.142268333333333,2.12,2.2412,5.343999999999999,0,,,,
retained-noise,14,0.047946720305857914,0.4875015809408598,0.4873668534208743,1.8504780870914908,0.011848152375094506,0.011685270217326977,0.0008756756152033863,0.01728537820435133,1.118033988749895,0.10572120006010721,9.966629602914516,1.0556588777583171,32.09295996943788,4.408195248398817,0.6167664670658682,0.0,0.1377245508982036,0.2754491017964072,0.0,1.0,1.0,1.6936865521942044,1.75629456820521,1.2157653860479387,2.1487950000000002,2.129,2.2522,5.436,0,,,,
retained-noise,15,0.047155944057098456,0.47946890734228204,0.4794980634854248,1.8196941385248782,0.012194488027217195,0.011610860183426974,0.0008448537199335122,0.019224366928556006,1.118033988749895,0.09441567870244721,10.680812313514165,0.9848080089333695,36.50398102576267,3.9768126352186477,0.6287425149700598,0.0,0.09580838323353294,0.3013972055888224,0.0,1.0,1.0,1.6934842225966538,1.76544279310668,1.1800650884740205,2.16534,2.1359999999999997,2.3162,5.3870000000000005,0,,,,
