stage,time,station,stationUpper,stationLower,maxPhaseExcess
1,1.45,14.3134630661337,16.5002907530014,12.5002907530217,-1.81316094280939
2,1.5,14.7059764371349,17.0003165658818,13.0003165659236,-1.70564854404218
3,1.55,15.061754261841,17.5003432716599,13.5003432717242,-1.56139955733143
4,1.6,15.3860948395166,18.0003708023824,14.0003708024702,-1.38571237289708
5,1.65,15.6837813449741,18.5003990851198,14.5003990852322,-1.18337025354959
6,1.7,15.9550895789691,19.0004280424104,15.0004280425483,-0.954649073728395
7,1.75,16.1998355294919,19.5004575927305,15.500457592895,-0.699364904622403
8,1.8,16.4377896129599,20.0004876509882,16.0004876511802,-0.437288250127946
9,1.85,16.696059088538,20.5005181290369,16.5005181292577,-0.195526458947049
10,1.9,16.9819119164716,21.0005489362073,17.0005489364581,0.0186524185026373
11,1.95,17.2961849841566,21.5005799798527,17.5005799801348,0.204411405396056
12,2,17.6407598702415,22.0006111659059,18.0006111662207,0.359868836245195
13,2.05,18.0103046453866,22.5006423994465,18.5006423997954,0.490356557270151
14,2.1,18.4062113817659,23.0006735852668,19.0006735856535,0.594482402544592
15,2.15,18.8285735655502,23.5007046284431,19.5007046288737,0.672155747984505
16,2.2,19.2898310060139,24.0007354349042,20.0007354353998,0.710947187307303
17,2.25,19.7758874188196,24.5007659120067,20.5007659125905,0.724947326710549
18,2.3,20.3004522955488,25.0007959690883,21.0007959697799,0.700451338192083
19,2.35,20.8330303351216,25.5008255180039,21.5008255188336,0.667953828826702
20,2.4,21.3284353545967,26.0008544736486,22.0008544746883,0.672644929489252
21,2.45,21.8335408347859,26.5008827544886,22.5008827558484,0.667646387618113
22,2.5,22.348672883513,27.0009102830408,23.0009102848944,0.652629818201895
23,2.55,22.8741529757465,27.5009369863547,23.50093698894,0.627266659750077
24,2.6,23.4508118256739,28.0009627965069,24.0009628000272,0.550723151554848
25,2.65,24.0412187831765,28.5009876507867,24.5009876557713,0.460448659416059
26,2.7,24.6336598196986,29.001011492387,25.001011499439,0.368143127113825
27,2.75,25.2829847295206,29.5010342705496,25.5010342805049,0.218935767012283
28,2.8,25.9661797127992,30.0010559410707,26.0010559547769,0.0358504776311577
29,2.85,26.63337883795,30.5010764665896,26.5010764846629,-0.131211970519558
30,2.9,27.3308587515631,31.0010958161727,27.001095840064,-0.328577273449042
31,2.95,28.0133034708198,31.5011139664011,27.5011139976822,-0.510892503904145
32,3,28.7021147411135,32.0011309010352,28.0011309416664,-0.699588859410397
33,3.05,29.366136343872,32.5011466111938,28.5011466636575,-0.863488853397968
34,3.1,30.0019037319654,33.0011610942743,29.0011611640046,-0.999098935722458
35,3.15,30.6785087574211,33.5011743585541,29.5011744472092,-1.17558946592393
36,3.2,31.3882001710641,34.0011864180498,30.0011865270226,-1.38520515194739
37,3.25,32.1285882513462,34.5011972931683,30.5011974256605,-1.62555154560914
38,3.3,32.8998754458776,35.0012070132431,31.0012071710416,-1.89680787976155
39,3.35,33.6990730428481,35.5012156138613,31.5012157991478,-1.8002746593133
40,3.4,34.5170580017209,36.0012231375858,32.0012233528994,-1.48229525196683
41,3.45,35.3324325950609,36.5012296337549,32.5012298818693,-1.16691564259693
42,3.5,36.1310004193232,37.0012351582113,33.0012354419822,-0.868332519100877
43,3.55,36.9115510788754,37.5012397729084,33.5012400952579,-0.587407361580055
44,3.6,37.6728377202463,38.0012435455801,34.001243909413,-0.325659080661453
45,3.65,38.4135874501822,38.5012465493401,34.5012469574615,-0.0844166716615007
46,3.7,39.1325117991138,39.001248862183,35.0012493173436,0.135024556895331
47,3.75,39.8283162764668,39.5012505665931,35.5012510713854,0.331362377598452
48,3.8,40.4997086258859,40.0012517490194,36.001252305833,0.503295840872681
49,3.85,41.1268292251655,40.5012525004511,36.5012531092342,0.630983473125525
50,3.9,41.7214316554312,41.0012529133797,37.0012535743885,0.726185601802797
51,3.95,42.2936967094056,41.5012530779311,37.5012538010859,0.799018201159356
52,4,42.8356726061027,42.0012530889461,38.0012538878661,0.841497178920577
53,4.05,43.3482707237077,42.5012530431355,38.5012539336774,0.854530227372948
54,4.1,43.8335386224351,43.0012530372491,39.0012540383438,0.840164002707525
55,4.15,44.293667769216,43.5012531673191,39.5012543014834,0.800590750352626
56,4.2,44.7309130952419,44.0012535281533,40.0012548216543,0.738068315413443
57,4.25,45.1475335865625,44.5012542113018,40.501255697202,0.654860800181382
58,4.3,45.5175695824951,45.0012553382569,41.0012569918983,0.52509085961924
59,4.35,45.8394830352395,45.5012570291772,41.5012587650896,0.34725106608812
60,4.4,46.1689568893997,46.0012593377536,42.0012611357426,0.176974258135829
61,4.45,46.5172539952722,46.501262336777,42.5012641958341,0.025522118118829
62,4.5,46.8738038417397,47.0012661037318,43.001268023767,-0.117674691378625
63,4.55,47.2276727724319,47.501270711555,43.50127269268,-0.263549466137192
64,4.6,47.5789374050229,48.0012762278652,44.0012782703487,-0.41202534879551
65,4.65,47.9276859744568,48.5012827145458,44.5012848188029,-0.563013821534923
66,4.7,48.2740125945055,49.0012902273768,45.0012923939667,-0.716420360957613
67,4.75,48.5329100700409,49.5012988157077,45.5013010453351,-0.957252007507691
68,4.8,48.74407465365,50.0013085221717,46.0013108156896,-1.24581213129295
69,4.85,48.9375648590176,50.5013193824347,46.5013217408619,-1.55204202171353
70,4.9,49.1140931183952,51.0013314250315,47.0013338494968,-1.87523028850342
71,4.95,49.274693904013,51.5013446710486,47.5013471630564,-1.76101896179216
72,5,49.4255269644482,52.0013591343366,48.0013616953832,-1.41152463899675
