time,affineStation,nonlinearStation,affineLateral,nonlinearLateral,affineYaw,nonlinearYaw,affineSpeed,nonlinearSpeed
1.35,13.431874534918,13.431874534918,0.04524459369304,0.04524459369304,0.0154030298731526,0.0154030298731526,9.28078512103401,9.28078512103401
1.4,13.883623090784,13.8836647129552,0.0609212658541063,0.0608426419725015,0.0222599055147965,0.0222617997312382,8.78934785938709,8.79006384213545
1.45,14.3139956705552,14.3140109454415,0.0487379172919575,0.06791477337081,0.00460641811353253,0.0200700882123443,8.40245139997741,8.41596089238312
1.5,14.7332153638321,14.7330245901961,0.0166033596502069,0.0662315631644298,-0.0226803012901157,0.0102006051933026,8.33419268590892,8.33292955825618
1.55,15.1496926768408,15.1493116191884,-0.0158125037805258,0.0568492332398238,-0.0411602453530626,-0.00252415155133989,8.32172518413356,8.30806020421996
1.6,15.5655777481856,15.5648886246979,-0.0479103953025673,0.0445439012602965,-0.0536375852984839,-0.0134993071236573,8.32495240298791,8.30971852038408
1.65,15.9814761004115,15.9804937853061,-0.0794015128193181,0.0321849866820451,-0.0619813889427443,-0.0213625837570193,8.32983880052232,8.31421222839668
1.7,16.3974630392207,16.396239936781,-0.110440450175527,0.0202011564711546,-0.0675941792570474,-0.0267617587431167,8.3338195128238,8.31814843061434
1.75,16.8135057103149,16.81212128996,-0.141010782225091,0.00873030512901691,-0.0712813053649813,-0.030322178378883,8.33682230958237,8.32119336790248
1.8,17.2295600608678,17.2281122232388,-0.171060490035936,-0.00218347990531121,-0.0735630672118586,-0.0325312856561557,8.33914522595842,8.32355296222883
1.85,17.6456010953615,17.6441955682306,-0.200389837685689,-0.0123818122192076,-0.0747009518626664,-0.0336486761235057,8.34111083183273,8.32552619131578
1.9,18.0616320332144,18.0603821571475,-0.228547959164532,-0.0214713922465108,-0.074706686337235,-0.033696281626766,8.3434505224565,8.32776238366664
1.95,18.4777964970614,18.4768145193024,-0.254699764006426,-0.028704832597162,-0.0733224480808936,-0.0324406041303664,8.35058439397763,8.33454427344397
2,18.8951928256144,18.8945639230983,-0.277421808604492,-0.0328008932037964,-0.0699534950285216,-0.0293237384632106,8.39539445989537,8.37842176500198
2.05,19.3221391100988,19.3218913425118,-0.294565519770527,-0.0318331935265475,-0.06364460957968,-0.0233760093626377,8.73270522219222,8.71454527065485
2.1,19.7711521325226,19.7711645949987,-0.325986484606051,-0.0300225541844606,-0.0702572577005865,-0.0168913675205287,9.28220240449073,9.25640665355432
2.15,20.2511480721813,20.2458770371239,-0.372209265932006,-0.0270861960666178,-0.0842996829512233,-0.00758375084176179,9.99210766015749,9.73497780375855
2.2,20.7559430408295,20.7442502062228,-0.438917479239044,-0.0259812153657156,-0.0998826959886127,0.000589633012572614,10.3390406863169,10.2038191089844
2.25,21.2862508159034,21.2661809441013,-0.525281641416245,-0.0267438760210755,-0.116519347351691,0.00763855266833868,11.096535430834,10.678880476607
2.3,21.8515564953228,21.8118356638697,-0.613743994020411,-0.021176871257069,-0.129231012097219,0.0221266229037286,11.8253101228464,11.1534452265265
2.35,22.4192394040604,22.3571600908245,-0.709033317560727,-0.0186213407524847,-0.142358026598329,0.0366383011884916,11.2795761232016,10.6551691466871
2.4,22.9600874407475,22.8778123432854,-0.804009539649318,-0.0196978797662351,-0.154290772550753,0.0513758048333116,10.7931188925217,10.152929684351
2.45,23.5010504235888,23.3975861034377,-0.892450912342557,-0.0143378155579167,-0.158174860826761,0.0737775178025284,11.2714519303652,10.6137967586801
2.5,24.041807325063,23.9163717712513,-0.975255226290448,-0.00296932091032356,-0.153996665030673,0.10385262104538,10.7888443770534,10.0968043732624
2.55,24.5807795915332,24.4316416845495,-1.05251471885509,0.0181584251402688,-0.138513295930485,0.141059244505578,11.2008547080536,10.4612609855772
2.6,25.1415209937073,24.9671431566515,-1.12746982769966,0.052078603001765,-0.111887900139168,0.185229044325435,11.6958539135058,10.8842811313602
2.65,25.7020342671894,25.5010068672606,-1.19571882921675,0.0916186940756889,-0.0774203217694736,0.237107384250097,11.2159220327864,10.3085401698876
2.7,26.2477088705677,26.0180452065426,-1.23708984945858,0.142505849344835,-0.0395841501295153,0.29284424038395,10.9999280606906,10.1642914707085
2.75,26.8015961949405,26.5358567856265,-1.2524812219751,0.215019276420354,-0.0117093174110008,0.351172831501951,11.4657922951653,10.3687359800654
2.8,27.3492281286081,27.0488634741225,-1.25119817640513,0.288638407950273,0.00371827275920723,0.408475985288481,10.6565086043577,9.72643192356311
2.85,27.8806623767972,27.5595543280581,-1.17928471545623,0.362075977963236,0.0202329370718567,0.465526850479903,10.7066952890448,9.97061562906625
2.9,28.4023161159503,28.0644626859511,-1.04554588798954,0.439864508821114,0.0401509000777137,0.528070448352574,10.2253562065022,9.20049256071501
2.95,28.9242790290462,28.5693864560238,-0.915002244785747,0.516003490674376,0.0591787228253338,0.590637472402728,10.8340278060156,9.45731043612612
3,29.4487165720247,29.0741395559204,-0.775205348365154,0.596318425638824,0.0730393820764695,0.648303386306851,10.4479622981059,8.77437402897917
3.05,29.9471277980245,29.5545105403482,-0.623958953754575,0.668285493962321,0.076946486261754,0.704549442528037,9.95886535245882,7.9351866618552
3.1,30.4322952557724,30.0144837728916,-0.4696173674492,0.741461733800038,0.068835304119761,0.762491525734524,10.0266632156234,7.62632091753398
3.15,30.9196601869853,30.454866198962,-0.324164575688556,0.831947504464187,0.053932841368745,0.820858238921945,10.0338729508084,7.26320142197737
3.2,31.4111426528132,30.873693079084,-0.215715061991873,0.93771501602808,0.0391959984292066,0.879613766846166,10.0241018716934,6.90883423063506
3.25,31.9076320500093,31.2706725215364,-0.152845997544581,1.05849173432497,0.0299294488356651,0.938759436137067,10.0178170525293,6.60101593311307
3.3,32.4077745719216,31.6456164769869,-0.122170615148465,1.19414524346236,0.0252621725221966,0.998312474891445,10.0154191238445,6.31250699450797
3.35,32.9096339920897,31.9977927847001,-0.106875660289877,1.34372794101495,0.0229252004301912,1.05826490152716,10.0143132817385,6.03484172223831
3.4,33.4121100003354,32.3263569328037,-0.0976759344786881,1.50599594038863,0.0215222032529024,1.11860825232437,10.0134073294668,5.76734424909439
3.45,33.91477919315,32.6305074637515,-0.0908688340736209,1.67959931474194,0.0204855928094213,1.17933334586994,10.0125762782948,5.51097967417164
3.5,34.4175100428666,32.9095190357357,-0.0851467589275801,1.86312469303221,0.019622156140578,1.24043049062288,10.0118442597633,5.26685538711169
3.55,34.9202744028633,33.1627501910023,-0.0800632667005982,2.05510303349492,0.0188703649321778,1.30188977297668,10.0112174310343,5.03598721191
3.6,35.4230770838609,33.3896482832993,-0.0754622544364464,2.25401335405986,0.0182108972163597,1.36370132093881,10.010686164545,4.81932049795617
3.65,35.9259323064193,33.5897544362095,-0.0712829836087268,2.45828793742779,0.0176367228513359,1.42585554166829,10.0102370855161,4.61774776889525
3.7,36.4288562639392,33.7627080906982,-0.06749544718969,2.66631862531678,0.0171436551038724,1.48834333476933,10.0098575342839,4.43211161691377
3.75,36.931864916572,33.9082508603941,-0.0640793985301186,2.87646368214701,0.0167276328262583,1.55115627842054,10.0095364463141,4.2632019009007
3.8,37.4349734173147,34.026291350183,-0.0610178247285951,3.08705663729855,0.0163841347046051,1.61423378355024,10.0092642730359,4.11182483966027
3.85,37.9381960306146,34.1181622856672,-0.0582951299744687,3.29650864103006,0.0161081803047731,1.67638393459378,10.0090326852214,3.97964322143362
3.9,38.4415461778391,34.1871728237439,-0.0558968067117395,3.50359943247773,0.0158944545097684,1.73479366336409,10.0088342845105,3.86851556873814
3.95,38.9450364400692,34.2354866326218,-0.0538093087440136,3.70735561943306,0.0157376417362843,1.7876851868925,10.0086623885316,3.77881577392436
4,39.4486786090371,34.2641793145167,-0.0520203893410422,3.90691256508755,0.0156322975451197,1.83424814371797,10.0085109256479,3.70990858585697
4.05,39.9524837766102,34.2740926186679,-0.0505202518146551,4.10156323267808,0.0155721848170362,1.87388410093184,10.0083727837486,3.66044928095089
4.1,40.4564621127441,34.2660258440369,-0.0493004555379764,4.2907812932995,0.0155515942471398,1.90602216703006,10.008243484975,3.62839850601924
4.15,40.9606230322395,34.2407543086894,-0.0483534894633919,4.4742224185212,0.0155654638329244,1.93008691082921,10.0081169474979,3.61097166213919
4.2,41.4649750095262,34.1990288633711,-0.0476734244397581,4.65172105211773,0.0156087612573482,1.94548616251525,10.0079873849459,3.60456368398134
4.25,41.9695256391473,34.1416641418632,-0.0472566479897898,4.82332010799787,0.0156759791448829,1.95167396127466,10.0078488922321,3.60462803528573
4.3,42.4742816359973,34.0746399242748,-0.0471025025041838,4.99125490160122,0.0157606769691824,1.95214269826229,10.0076952296975,3.60613384884588
4.35,42.9792486817178,34.0064511248932,-0.0472122139958919,5.15883903846676,0.0158566148943749,1.95211514417415,10.0075197653273,3.60756456620981
4.4,43.4844312393934,33.9382323135221,-0.0475880703839688,5.32651507706494,0.0159586800040039,1.95201998892341,10.0073154168093,3.60896657548976
4.45,43.9898324895915,33.8700352552797,-0.0482339514857834,5.49430220718351,0.016062203823968,1.95185670130464,10.0070745149163,3.6103404780462
4.5,44.4954543204592,33.8018743960947,-0.0491556172740278,5.66220468129968,0.0161624606537249,1.95162380960912,10.0067887247579,3.61167913565923
4.55,45.0012971851882,33.733763163257,-0.0503605636828424,5.83022587119622,0.0162547770200623,1.95132017075985,10.006448614983,3.61297395845844
4.6,45.5073598814569,33.6657151119608,-0.0518578328280124,5.99836860258387,0.0163346849842251,1.95094484981123,10.0060420183197,3.61421357855908
4.65,46.0136392428779,33.5977439473062,-0.0536577389281529,6.16663483539023,0.0163980455620342,1.95049718248306,10.0055475798224,3.61537736618874
