seed,status,minimumCollisionRelaxation,necessaryLowerBound,lpExitFlag,activeStages,lpPrimalViolation,lpDualResidual,lpDualBound,coneViolation
previous,1,0.925240346475668,0.924389577207792,1,[9 10],2.00395255944841e-14,3.83304499251835e-14,0.924389577207788,1.29061206166625e-11
fluid,1,2.77019219137329,2.65205942810491,1,[5 15 26],3.21964677141295e-14,9.76996261670138e-15,2.6520594281049,5.378089085184e-09
