Scenario,PeakForceTimeS,PeakFrontAffineForceKN,SameInputNonlinearFrontForceKN,PeakForceToCapacityRatio,MaximumForceToCapacityRatio,MaximumFrameSeconds,MedianFrameSeconds
straight,1.55,6.99340710703796,6.14314999620413,1.13809275237008,1.20574836861342,0.424199,0.030002
circular,1.35,7.54108345865342,0.692338038342298,10.8921986674449,10.8921986674449,0.266434,0.014118
sCurve,1.1,5.24216286324424,5.98703942066521,0.875585159027029,0.875585159027029,4.563357,2.36021
